Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,40,0,3,1.3614999725566863,0.0,0.0,4.523756001536825,3.7,4.0
10,40,0,3,1.4076087018174566,0.0,0.0,4.521173912698222,3.7,4.0
10,40,0,3,1.9654290701825836,0.0,0.0,4.489935972069775,3.7,4.0
10,40,0,3,1.2851736179445363,0.0,0.0,4.528030277395105,3.7,4.0
10,40,0,3,1.6804235584178813,0.0,0.0,4.5058962807285985,3.7,4.0
10,40,0,3,1.5355193599688697,0.0,0.0,4.514010915841743,3.7,4.0
10,40,0,3,1.6354972096365308,0.0,0.0,4.508412156260354,3.7,4.0
10,40,0,3,1.3933775446835923,0.0,0.0,4.521970857497719,3.7,4.0
10,40,0,3,2.639794957939099,0.1784368174439536,2.3379590894018376,4.45217148235541,3.6958959531987894,3.9906481636423927
10,40,0,3,1.7121725864072328,0.0,0.0,4.504118335161195,3.7,4.0
10,40,0,3,1.7162482529491871,0.0,0.0,4.503890097834845,3.7,4.0
10,40,0,3,1.6422021922952277,0.0,0.0,4.508036677231467,3.7,4.0
10,40,0,3,1.6025809293761204,0.0,0.0,4.510255467954937,3.7,4.0
10,40,0,3,1.4909199837327038,0.0,0.0,4.516508480910968,3.7,4.0
10,40,0,3,1.660860408313294,0.0,0.0,4.506991817134455,3.7,4.0
10,40,0,3,1.5345692147174417,0.0,0.0,4.514064123975823,3.7,4.0
10,40,0,3,1.911501306415632,0.0,0.0,4.492955926840724,3.7,4.0
10,40,0,3,1.2300070411352095,0.0,0.0,4.531119605696428,3.7,4.0
10,40,0,3,1.1801117396397265,0.0,0.0,4.533913742580175,3.7,4.0
10,40,0,3,1.5471334580742688,0.0,0.0,4.5133605263478405,3.7,4.0
10,20,0,3,1.7693727657403866,0.0,0.0,4.500915125118538,3.7,4.0
10,20,0,3,1.3682451341186557,0.0,0.0,4.523378272489355,3.7,4.0
10,20,0,3,1.652393196000794,0.0,0.0,4.507465981023955,3.7,4.0
10,20,0,3,1.372366201771348,0.0,0.0,4.523147492700804,3.7,4.0
10,20,0,3,1.4092245910237216,0.0,0.0,4.521083422902671,3.7,4.0
10,20,0,3,1.6187063309137033,0.0,0.0,4.509352445468832,3.7,4.0
10,20,0,3,1.3567662570422323,0.0,0.0,4.524021089605634,3.7,4.0
10,20,0,3,1.6629818062525046,0.0,0.0,4.506873018849859,3.7,4.0
10,20,0,3,1.6054706326450094,0.0,0.0,4.510093644571879,3.7,4.0
10,20,0,3,1.7013541313950105,0.0,0.0,4.504724168641879,3.7,4.0
10,20,0,3,1.701370214366996,0.0,0.0,4.504723267995448,3.7,4.0
10,20,0,3,1.612918255724351,0.0,0.0,4.509676577679436,3.7,4.0
10,20,0,3,1.5256882534337444,0.0,0.0,4.51456145780771,3.7,4.0
10,20,0,3,1.3128549104130411,0.0,0.0,4.526480125016869,3.7,4.0
10,20,0,3,1.6715135157327303,0.0,0.0,4.506395243118967,3.7,4.0
10,20,0,3,1.2625987938864052,0.0,0.0,4.5292944675423605,3.7,4.0
