Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength
5,'2025-01-30 01:07:47,'2025-01-30 01:09:08,3.82,65,9.7097487449646,401.1075701713562,1.1,10,40,2,5
6,'2025-01-30 01:09:08,'2025-01-30 01:10:28,3.82,65,9.679190158843994,481.297559261322,1.1,10,40,2,5
7,'2025-01-30 01:10:28,'2025-01-30 01:11:48,3.78,65,9.722025394439697,561.4913675785065,1.1,10,40,2,5
8,'2025-01-30 01:11:48,'2025-01-30 01:13:08,3.77,65,9.783798456192017,641.759655714035,1.1,10,40,2,5
9,'2025-01-30 01:13:08,'2025-01-30 01:14:29,3.78,65,9.728473424911499,721.9504013061523,1.1,10,40,2,5
10,'2025-01-30 01:14:29,'2025-01-30 01:15:49,3.79,65,9.64621877670288,802.1039707660675,1.1,10,40,2,5
11,'2025-01-30 01:15:49,'2025-01-30 01:17:09,3.81,65,9.709512710571289,882.3052122592926,1.11,10,40,2,5
12,'2025-01-30 01:17:09,'2025-01-30 01:18:29,3.81,65,9.699364185333252,962.4950623512268,1.1,10,40,2,5
13,'2025-01-30 01:18:29,'2025-01-30 01:19:49,3.78,65,9.803418636322021,1042.7768125534058,1.11,10,40,2,5
14,'2025-01-30 01:19:49,'2025-01-30 01:21:09,3.8,65,9.634482860565186,1122.9062271118164,1.11,10,40,2,5
15,'2025-01-30 01:21:09,'2025-01-30 01:22:30,3.8,65,9.731613874435425,1203.1544880867004,1.11,10,40,2,5
16,'2025-01-30 01:22:30,'2025-01-30 01:23:50,3.78,65,9.6949782371521,1283.3306500911713,1.1,10,40,2,5
17,'2025-01-30 01:23:50,'2025-01-30 01:25:10,3.8,65,9.66283631324768,1363.485782623291,1.1,10,40,2,5
18,'2025-01-30 01:25:10,'2025-01-30 01:26:30,3.81,65,9.736757516860962,1443.761640071869,1.1,10,40,2,5
19,'2025-01-30 01:26:30,'2025-01-30 01:27:51,3.78,65,9.621555089950562,1523.9470171928406,1.1,10,40,2,5
20,'2025-01-30 01:27:51,'2025-01-30 01:29:11,3.76,65,9.730188131332397,1604.176958322525,1.1,10,40,2,5
1,'2025-01-30 01:29:11,'2025-01-30 01:30:30,3.3,65,9.644278764724731,79.64498901367188,1.11,10,0,2,5
2,'2025-01-30 01:30:30,'2025-01-30 01:31:50,3.29,65,9.643803358078003,159.27069997787476,1.1,10,0,2,5
3,'2025-01-30 01:31:50,'2025-01-30 01:33:10,3.59,65,9.681936264038086,239.24110007286072,1.1,10,0,2,5
4,'2025-01-30 01:33:10,'2025-01-30 01:34:30,3.3,65,9.654258251190186,318.92305517196655,1.1,10,0,2,5
5,'2025-01-30 01:34:30,'2025-01-30 01:35:49,3.29,65,9.682239055633545,398.5995442867279,1.1,10,0,2,5
6,'2025-01-30 01:35:49,'2025-01-30 01:37:09,3.28,65,9.6995267868042,478.29695558547974,1.1,10,0,2,5
