Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude
1,'2025-01-21 21:51:35,'2025-01-21 21:52:57,3.79,60,15.726670980453491,80.79172563552856,1.27,2,20
2,'2025-01-21 21:52:57,'2025-01-21 21:54:18,3.78,60,15.641164064407349,161.90239024162292,1.11,2,20
3,'2025-01-21 21:54:18,'2025-01-21 21:55:39,3.77,60,15.693046569824219,243.0462143421173,1.1,2,20
4,'2025-01-21 21:55:39,'2025-01-21 21:57:00,3.79,60,15.681278705596924,324.24776339530945,1.1,2,20
5,'2025-01-21 21:57:00,'2025-01-21 21:58:21,3.75,60,15.597257137298584,405.3868000507355,1.1,2,20
6,'2025-01-21 21:58:21,'2025-01-21 21:59:42,3.78,60,15.594313621520996,486.4739480018616,1.1,2,20
7,'2025-01-21 21:59:42,'2025-01-21 22:01:04,3.78,60,15.566400527954102,567.5920672416687,1.11,2,20
8,'2025-01-21 22:01:04,'2025-01-21 22:02:25,3.78,60,15.651695013046265,648.7614815235138,1.11,2,20
9,'2025-01-21 22:02:25,'2025-01-21 22:03:46,3.78,60,15.670085906982422,729.8976199626923,1.1,2,20
10,'2025-01-21 22:03:46,'2025-01-21 22:05:07,3.77,60,15.721267938613892,811.0887305736542,1.11,2,20
11,'2025-01-21 22:05:07,'2025-01-21 22:06:28,3.8,60,15.703439712524414,892.3225078582764,1.11,2,20
12,'2025-01-21 22:06:28,'2025-01-21 22:07:49,3.78,60,15.645394086837769,973.4401032924652,1.1,2,20
13,'2025-01-21 22:07:49,'2025-01-21 22:09:11,3.81,60,15.696943044662476,1054.678035736084,1.1,2,20
14,'2025-01-21 22:09:11,'2025-01-21 22:10:32,3.77,60,15.680355310440063,1135.825481414795,1.1,2,20
15,'2025-01-21 22:10:32,'2025-01-21 22:11:53,3.78,60,15.732663631439209,1217.0411231517792,1.1,2,20
16,'2025-01-21 22:11:53,'2025-01-21 22:13:14,3.81,60,15.706241846084595,1298.28515625,1.1,2,20
17,'2025-01-21 22:13:14,'2025-01-21 22:14:35,3.77,60,15.581703424453735,1379.363217830658,1.1,2,20
18,'2025-01-21 22:14:35,'2025-01-21 22:15:56,3.77,60,15.603313207626343,1460.4509098529816,1.1,2,20
19,'2025-01-21 22:15:56,'2025-01-21 22:17:18,3.83,60,15.693538188934326,1541.7980434894562,1.11,2,20
20,'2025-01-21 22:17:18,'2025-01-21 22:18:39,3.88,60,15.742476224899292,1623.1443102359772,1.1,2,20
1,'2025-01-21 22:18:39,'2025-01-21 22:20:00,3.79,60,15.653864860534668,80.54875922203064,1.1,2,40
2,'2025-01-21 22:20:00,'2025-01-21 22:21:22,3.8,60,15.64608883857727,161.7383120059967,1.11,2,40
3,'2025-01-21 22:21:22,'2025-01-21 22:22:43,3.79,60,15.68777322769165,243.07682418823242,1.1,2,40
4,'2025-01-21 22:22:43,'2025-01-21 22:24:04,3.79,60,15.698921918869019,324.2709491252899,1.1,2,40
5,'2025-01-21 22:24:04,'2025-01-21 22:25:25,3.77,60,15.632571697235107,405.3871932029724,1.1,2,40
6,'2025-01-21 22:25:25,'2025-01-21 22:26:46,3.78,60,15.677927494049072,486.5889925956726,1.11,2,40
7,'2025-01-21 22:26:46,'2025-01-21 22:28:08,3.79,60,15.687625408172607,567.811830997467,1.11,2,40
8,'2025-01-21 22:28:08,'2025-01-21 22:29:29,3.79,60,15.644534587860107,648.9468162059784,1.11,2,40
9,'2025-01-21 22:29:29,'2025-01-21 22:30:50,3.79,60,15.640740156173706,730.0804681777954,1.1,2,40
10,'2025-01-21 22:30:50,'2025-01-21 22:32:11,3.8,60,15.612000465393066,811.2547292709351,1.1,2,40
11,'2025-01-21 22:32:11,'2025-01-21 22:33:32,3.79,60,15.64908218383789,892.3918716907501,1.1,2,40
12,'2025-01-21 22:33:32,'2025-01-21 22:34:53,3.75,60,15.664101600646973,973.5185904502869,1.11,2,40
13,'2025-01-21 22:34:53,'2025-01-21 22:36:15,3.77,60,15.659077405929565,1054.6945836544037,1.11,2,40
14,'2025-01-21 22:36:15,'2025-01-21 22:37:36,3.77,60,15.606594324111938,1135.8102736473083,1.1,2,40
15,'2025-01-21 22:37:36,'2025-01-21 22:38:57,3.95,60,15.697218656539917,1217.1493899822235,1.11,2,40
16,'2025-01-21 22:38:57,'2025-01-21 22:40:18,3.81,60,15.649733543395996,1298.3612632751465,1.1,2,40
17,'2025-01-21 22:40:18,'2025-01-21 22:41:39,3.79,60,15.690020084381104,1379.5485982894897,1.1,2,40
18,'2025-01-21 22:41:39,'2025-01-21 22:43:01,3.79,60,15.588148355484009,1460.6864099502563,1.11,2,40
19,'2025-01-21 22:43:01,'2025-01-21 22:44:22,3.77,60,15.619797468185425,1541.839507341385,1.1,2,40
20,'2025-01-21 22:44:22,'2025-01-21 22:45:43,3.77,60,15.64718770980835,1623.0376472473145,1.1,2,40
1,'2025-01-21 22:45:43,'2025-01-21 22:47:04,3.82,60,15.730924844741821,80.6621458530426,1.1,10,20
2,'2025-01-21 22:47:04,'2025-01-21 22:48:25,3.78,60,15.626179218292236,161.78233218193054,1.11,10,20
3,'2025-01-21 22:48:25,'2025-01-21 22:49:47,3.79,60,15.596994638442993,242.9422469139099,1.11,10,20
4,'2025-01-21 22:49:47,'2025-01-21 22:51:08,3.81,60,15.669846057891846,324.1857190132141,1.11,10,20
5,'2025-01-21 22:51:08,'2025-01-21 22:52:29,3.8,60,15.730416059494019,405.4074077606201,1.1,10,20
6,'2025-01-21 22:52:29,'2025-01-21 22:53:50,3.78,60,15.617088317871094,486.56495118141174,1.1,10,20
7,'2025-01-21 22:53:50,'2025-01-21 22:55:11,3.8,60,15.673307418823242,567.7401275634766,1.1,10,20
8,'2025-01-21 22:55:11,'2025-01-21 22:56:33,3.78,60,15.673588752746582,648.918609380722,1.11,10,20
9,'2025-01-21 22:56:33,'2025-01-21 22:57:54,3.78,60,15.654943704605103,730.0938093662262,1.1,10,20
10,'2025-01-21 22:57:54,'2025-01-21 22:59:15,3.81,60,15.674453973770142,811.3050467967987,1.1,10,20
11,'2025-01-21 22:59:15,'2025-01-21 23:00:36,3.77,60,15.71876049041748,892.4798395633698,1.1,10,20
12,'2025-01-21 23:00:36,'2025-01-21 23:01:57,3.78,60,15.632150888442993,973.649186372757,1.1,10,20
13,'2025-01-21 23:01:57,'2025-01-21 23:03:18,3.8,60,15.686017036437988,1054.8441762924194,1.1,10,20
14,'2025-01-21 23:03:18,'2025-01-21 23:04:40,3.81,60,15.713806867599487,1136.168236732483,1.1,10,20
15,'2025-01-21 23:04:40,'2025-01-21 23:06:01,3.78,60,15.674876928329468,1217.3062965869904,1.11,10,20
16,'2025-01-21 23:06:01,'2025-01-21 23:07:22,3.81,60,15.660626411437988,1298.4742987155914,1.11,10,20
17,'2025-01-21 23:07:22,'2025-01-21 23:08:43,3.76,60,15.666334629058838,1379.6241738796234,1.1,10,20
18,'2025-01-21 23:08:43,'2025-01-21 23:10:04,3.84,60,15.641744375228882,1460.8224129676819,1.1,10,20
19,'2025-01-21 23:10:04,'2025-01-21 23:11:26,4.19,60,15.631518125534058,1542.4235701560974,1.1,10,20
20,'2025-01-21 23:11:26,'2025-01-21 23:12:47,3.82,60,15.640886545181274,1623.6163218021393,1.1,10,20
1,'2025-01-21 23:12:47,'2025-01-21 23:14:08,3.76,60,15.624706983566284,80.49315214157104,1.1,10,40
2,'2025-01-21 23:14:08,'2025-01-21 23:15:29,3.8,60,15.625600337982178,161.67595148086548,1.1,10,40
3,'2025-01-21 23:15:29,'2025-01-21 23:16:51,3.79,60,15.718212842941284,242.93359208106995,1.1,10,40
4,'2025-01-21 23:16:51,'2025-01-21 23:18:12,3.82,60,15.737324476242065,324.18968510627747,1.1,10,40
