Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
1,'2025-04-01 15:12:41,'2025-04-01 15:13:52,0.0,64.35194325447083,5.945311546325684,71.07818627357483,1,40,0,2,600,2
2,'2025-04-01 15:13:52,'2025-04-01 15:15:02,0.0,64.1115152835846,5.713998079299927,141.59949779510498,1,40,0,2,600,2
3,'2025-04-01 15:15:02,'2025-04-01 15:16:13,0.0,64.1095507144928,5.675385236740112,212.04433012008667,1,40,0,2,600,2
4,'2025-04-01 15:16:13,'2025-04-01 15:17:23,0.0,64.10957050323486,5.77433180809021,282.6396927833557,1,40,0,2,600,2
5,'2025-04-01 15:17:23,'2025-04-01 15:18:34,0.0,64.10811877250671,5.755743026733398,353.1092059612274,1,40,0,2,600,2
6,'2025-04-01 15:18:34,'2025-04-01 15:19:44,0.0,64.10866808891296,5.6933913230896,423.64546966552734,1,40,0,2,600,2
7,'2025-04-01 15:19:44,'2025-04-01 15:20:55,0.0,64.10837650299072,5.711593389511108,494.08653259277344,1,40,0,2,600,2
8,'2025-04-01 15:20:55,'2025-04-01 15:22:05,0.0,64.11063742637634,5.807900667190552,564.653162240982,1,40,0,2,600,2
9,'2025-04-01 15:22:05,'2025-04-01 15:23:16,0.0,64.11342167854309,5.73061728477478,635.1021330356598,1,40,0,2,600,2
10,'2025-04-01 15:23:16,'2025-04-01 15:24:26,0.0,64.10827803611755,5.767603635787964,705.6926474571228,1,40,0,2,600,2
11,'2025-04-01 15:24:26,'2025-04-01 15:25:37,0.0,64.11008048057556,5.779033184051514,776.1868717670441,1,40,0,2,600,2
12,'2025-04-01 15:25:37,'2025-04-01 15:26:47,0.0,64.1204993724823,5.759721517562866,846.6970553398132,1,40,0,2,600,2
13,'2025-04-01 15:26:47,'2025-04-01 15:27:58,0.0,64.10846281051636,5.669102191925049,917.1253473758698,1,40,0,2,600,2
14,'2025-04-01 15:27:58,'2025-04-01 15:29:08,0.0,64.10855865478516,5.714034080505371,987.6040434837341,1,40,0,2,600,2
15,'2025-04-01 15:29:08,'2025-04-01 15:30:19,0.0,64.10769724845886,5.809932231903076,1058.119124174118,1,40,0,2,600,2
16,'2025-04-01 15:30:19,'2025-04-01 15:31:30,0.0,64.11100578308105,6.143806219100952,1128.9638345241547,1,40,0,2,600,2
17,'2025-04-01 15:31:30,'2025-04-01 15:32:40,0.0,64.11393356323242,5.789616346359253,1199.5271396636963,1,40,0,2,600,2
18,'2025-04-01 15:32:40,'2025-04-01 15:33:51,0.0,64.10936975479126,5.696210622787476,1269.9349563121796,1,40,0,2,600,2
19,'2025-04-01 15:33:51,'2025-04-01 15:35:01,0.0,64.10941505432129,5.744677543640137,1340.402762889862,1,40,0,2,600,2
20,'2025-04-01 15:35:01,'2025-04-01 15:36:11,0.0,64.11285209655762,5.704882383346558,1410.8076031208038,1,40,0,2,600,2
21,'2025-04-01 15:36:11,'2025-04-01 15:37:22,0.0,64.109206199646,5.712687730789185,1481.2799408435822,1,40,0,2,600,2
22,'2025-04-01 15:37:22,'2025-04-01 15:38:32,0.0,64.10713982582092,5.7259979248046875,1551.7119722366333,1,40,0,2,600,2
23,'2025-04-01 15:38:32,'2025-04-01 15:39:43,0.0,64.10892295837402,5.685874700546265,1622.1177701950073,1,40,0,2,600,2
24,'2025-04-01 15:39:43,'2025-04-01 15:40:53,0.0,64.10768461227417,5.7255120277404785,1692.618967294693,1,40,0,2,600,2
