Iteration,File,Buffer Size,Added Jitter Magnitude,Average Queue Size,Std Dev Queue Size,Interrupt Count,Interrupts Magnitude(ms)
107,jitter_values_20241209_202629.csv,2,0,1.998781231,0.034894909,0,
104,jitter_values_20241209_202224.csv,2,0,0.998781602,0.049356389,0,
89,jitter_values_20241209_200205.csv,10,0,8.996641221,0.057866395,0,
86,jitter_values_20241209_195801.csv,10,0,9.996334759,0.060439416,0,
95,jitter_values_20241209_201013.csv,10,0,8.995113012,0.069746624,0,
119,jitter_values_20241209_204244.csv,2,0,1.993906155,0.077836728,0,
98,jitter_values_20241209_201417.csv,10,0,8.995113012,0.078017382,0,
82,jitter_values_20241209_195235.csv,10,0,8.997557252,0.089080791,0,
106,jitter_values_20241209_202507.csv,2,0,1.005179768,0.116997831,0,
92,jitter_values_20241209_200609.csv,10,0,9.979230299,0.142634267,0,
109,jitter_values_20241209_202911.csv,2,0,1.970149254,0.180623393,0,
57,jitter_values_20241209_191831.csv,10,20,8.968540012,0.227742559,0,
56,jitter_values_20241209_191709.csv,10,20,8.967022901,0.228162612,0,
93,jitter_values_20241209_200730.csv,10,0,9.945921173,0.231548978,0,
111,jitter_values_20241209_203154.csv,2,0,1.943631932,0.231983817,0,
114,jitter_values_20241209_203558.csv,2,0,1.93873819,0.244878253,0,
53,jitter_values_20241209_191303.csv,10,20,8.971288943,0.251667923,0,
4,jitter_values_20241209_180612.csv,2,20,2.960658737,0.253062377,1,51.8634
49,jitter_values_20241209_190736.csv,10,20,8.953268173,0.274070398,0,
48,jitter_values_20241209_190614.csv,10,20,9.010989011,0.285851825,0,
97,jitter_values_20241209_201255.csv,10,0,9.909285278,0.288308556,0,
8,jitter_values_20241209_181139.csv,2,20,2.938128619,0.305658081,0,
103,jitter_values_20241209_202103.csv,2,0,2.126181042,0.340265789,0,
11,jitter_values_20241209_181545.csv,2,20,2.042669918,0.340384562,0,
102,jitter_values_20241209_201942.csv,2,0,2.121378469,0.343016875,0,
120,jitter_values_20241209_204406.csv,2,0,2.897256098,0.373070028,0,
94,jitter_values_20241209_200851.csv,10,0,9.170381679,0.382468201,0,
60,jitter_values_20241209_192236.csv,10,20,9.880268784,0.397465759,0,
101,jitter_values_20241209_201820.csv,2,0,1.796770262,0.405481252,0,
100,jitter_values_20241209_201659.csv,10,0,9.805555556,0.407239408,0,
81,jitter_values_20241209_195114.csv,10,0,9.794135614,0.407404505,1,38.5397
113,jitter_values_20241209_203436.csv,2,0,1.793723339,0.409931083,1,33.4523
96,jitter_values_20241209_201134.csv,10,0,9.791145038,0.411778035,1,37.0491
115,jitter_values_20241209_203719.csv,2,0,1.791895186,0.413452695,1,33.405
118,jitter_values_20241209_204123.csv,2,0,2.18134715,0.419457564,0,
55,jitter_values_20241209_191547.csv,10,20,9.848854962,0.426011035,0,
90,jitter_values_20241209_200326.csv,10,0,9.978619426,0.426907166,0,
84,jitter_values_20241209_195518.csv,10,0,9.680610687,0.46696579,0,
117,jitter_values_20241209_204002.csv,2,0,2.680073126,0.47042258,0,
58,jitter_values_20241209_191952.csv,10,20,9.196641221,0.476498073,0,
105,jitter_values_20241209_202346.csv,2,0,1.716768293,0.485808904,0,
91,jitter_values_20241209_200447.csv,10,0,9.410381679,0.494455212,0,
52,jitter_values_20241209_191142.csv,10,20,9.172318973,0.494719086,0,
116,jitter_values_20241209_203840.csv,2,0,1.4444106,0.500640946,0,
99,jitter_values_20241209_201538.csv,10,0,9.476786805,0.503800344,0,
85,jitter_values_20241209_195639.csv,10,0,10.82157042,0.514400548,1,43.9691
45,jitter_values_20241209_190208.csv,10,20,11.73074572,0.519796712,1,37.0345
87,jitter_values_20241209_195922.csv,10,0,8.810819071,0.52625852,0,
46,jitter_values_20241209_190331.csv,10,20,9.208660075,0.527646333,0,
14,jitter_values_20241209_181950.csv,2,20,2.679268293,0.533875404,2,"34.6525, 35.2899"
41,jitter_values_20241209_185641.csv,10,20,9.277251908,0.537038437,0,
75,jitter_values_20241209_194304.csv,10,40,8.911728772,0.54143601,0,
42,jitter_values_20241209_185803.csv,10,20,10.66585217,0.545638561,0,
50,jitter_values_20241209_190858.csv,10,20,9.653129771,0.54597864,0,
13,jitter_values_20241209_181829.csv,2,20,3.208473027,0.546442053,1,50.3143
