Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude
1,'2024-12-09 18:00:46,'2024-12-09 18:02:08,2.51,60,17.610804557800293,81.44275569915771,1.31,2,20
2,'2024-12-09 18:02:08,'2024-12-09 18:03:30,2.51,60,17.678529500961304,163.37952184677124,1.11,2,20
3,'2024-12-09 18:03:30,'2024-12-09 18:04:52,2.5,60,17.674880743026733,245.25093460083008,1.11,2,20
4,'2024-12-09 18:04:52,'2024-12-09 18:06:14,2.51,60,17.54927682876587,327.0689232349396,1.1,2,20
5,'2024-12-09 18:06:14,'2024-12-09 18:07:35,2.51,60,17.55922269821167,408.88221621513367,1.11,2,20
6,'2024-12-09 18:07:35,'2024-12-09 18:08:57,2.53,60,17.68356966972351,490.79787611961365,1.1,2,20
7,'2024-12-09 18:08:57,'2024-12-09 18:10:19,2.53,60,17.556779861450195,572.5910475254059,1.1,2,20
8,'2024-12-09 18:10:19,'2024-12-09 18:11:41,2.48,60,17.614292860031128,654.3733630180359,1.11,2,20
9,'2024-12-09 18:11:41,'2024-12-09 18:13:03,2.79,60,17.54349970817566,736.4127600193024,1.11,2,20
10,'2024-12-09 18:13:03,'2024-12-09 18:14:25,2.51,60,17.56805109977722,818.1952831745148,1.11,2,20
11,'2024-12-09 18:14:25,'2024-12-09 18:15:47,2.5,60,17.594687938690186,900.0269207954407,1.1,2,20
12,'2024-12-09 18:15:47,'2024-12-09 18:17:08,2.5,60,17.60492992401123,981.8624284267426,1.1,2,20
13,'2024-12-09 18:17:08,'2024-12-09 18:18:30,2.55,60,17.520704746246338,1063.6441085338593,1.11,2,20
14,'2024-12-09 18:18:30,'2024-12-09 18:19:52,2.5,60,17.64289689064026,1145.5536637306213,1.1,2,20
15,'2024-12-09 18:19:52,'2024-12-09 18:21:14,2.51,60,17.604029178619385,1227.377413034439,1.1,2,20
16,'2024-12-09 18:21:14,'2024-12-09 18:22:36,2.52,60,17.527894258499146,1309.1386325359344,1.11,2,20
17,'2024-12-09 18:22:36,'2024-12-09 18:23:58,2.51,60,17.582486391067505,1390.9842464923859,1.1,2,20
18,'2024-12-09 18:23:58,'2024-12-09 18:25:19,2.6,60,17.521563291549683,1472.8403663635254,1.1,2,20
19,'2024-12-09 18:25:19,'2024-12-09 18:26:41,2.49,60,17.632339477539062,1554.694438457489,1.11,2,20
20,'2024-12-09 18:26:41,'2024-12-09 18:28:03,2.74,60,17.60306191444397,1636.7646317481995,1.1,2,20
1,'2024-12-09 18:28:03,'2024-12-09 18:29:25,2.52,60,17.554237842559814,81.1834545135498,1.11,2,40
2,'2024-12-09 18:29:25,'2024-12-09 18:30:47,2.51,60,17.635772228240967,163.0184326171875,1.1,2,40
3,'2024-12-09 18:30:47,'2024-12-09 18:32:09,2.54,60,17.540745735168457,244.81780672073364,1.1,2,40
4,'2024-12-09 18:32:09,'2024-12-09 18:33:31,2.51,60,17.567208766937256,326.6463758945465,1.1,2,40
5,'2024-12-09 18:33:31,'2024-12-09 18:34:54,2.55,60,17.55022406578064,409.73188996315,1.1,2,40
6,'2024-12-09 18:34:54,'2024-12-09 18:36:16,2.51,60,17.53625726699829,491.50876784324646,1.11,2,40
7,'2024-12-09 18:36:16,'2024-12-09 18:37:37,2.51,60,17.59625220298767,573.3596911430359,1.11,2,40
8,'2024-12-09 18:37:37,'2024-12-09 18:38:59,2.5,60,17.554962158203125,655.1461138725281,1.1,2,40
9,'2024-12-09 18:38:59,'2024-12-09 18:40:21,2.51,60,17.547603368759155,736.9291579723358,1.1,2,40
10,'2024-12-09 18:40:21,'2024-12-09 18:41:43,2.5,60,17.512813806533813,818.7030262947083,1.11,2,40
11,'2024-12-09 18:41:43,'2024-12-09 18:43:05,2.65,60,17.54667067527771,900.6035754680634,1.1,2,40
12,'2024-12-09 18:43:05,'2024-12-09 18:44:27,2.52,60,17.617961645126343,982.519956111908,1.1,2,40
13,'2024-12-09 18:44:27,'2024-12-09 18:45:48,2.5,60,17.570103406906128,1064.3704192638397,1.11,2,40
14,'2024-12-09 18:45:48,'2024-12-09 18:47:10,2.52,60,17.586641788482666,1146.1693856716156,1.11,2,40
15,'2024-12-09 18:47:10,'2024-12-09 18:48:32,2.54,60,17.634509563446045,1228.0563814640045,1.11,2,40
16,'2024-12-09 18:48:32,'2024-12-09 18:49:54,2.53,60,17.55419135093689,1309.8966398239136,1.1,2,40
17,'2024-12-09 18:49:54,'2024-12-09 18:51:16,2.52,60,17.531179428100586,1391.673754453659,1.1,2,40
18,'2024-12-09 18:51:16,'2024-12-09 18:52:37,2.48,60,17.510486841201782,1473.3653383255005,1.1,2,40
19,'2024-12-09 18:52:37,'2024-12-09 18:53:59,2.53,60,17.58246159553528,1555.1742150783539,1.11,2,40
20,'2024-12-09 18:53:59,'2024-12-09 18:55:21,2.53,60,17.54308843612671,1636.9480941295624,1.11,2,40
1,'2024-12-09 18:55:21,'2024-12-09 18:56:43,2.51,60,17.591103315353394,81.21043658256531,1.11,10,20
2,'2024-12-09 18:56:43,'2024-12-09 18:58:05,2.69,60,17.484225749969482,163.08374118804932,1.1,10,20
3,'2024-12-09 18:58:05,'2024-12-09 18:59:26,2.54,60,17.539979457855225,244.88736152648926,1.1,10,20
4,'2024-12-09 18:59:26,'2024-12-09 19:00:48,2.5,60,17.613377571105957,326.7143454551697,1.1,10,20
5,'2024-12-09 19:00:48,'2024-12-09 19:02:10,2.54,60,17.63202428817749,408.59978199005127,1.12,10,20
6,'2024-12-09 19:02:10,'2024-12-09 19:03:32,2.5,60,17.796550035476685,490.6621582508087,1.11,10,20
