Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,15,0,3,1.666121981153761,0.0,0.0,4.506697169055389,3.7,4.0
10,15,0,3,2.181728553177798,0.0,0.0,4.477823201022043,3.7,4.0
10,15,0,3,1.5528922321020326,0.0,0.0,4.513038035002285,3.7,4.0
10,15,0,3,1.9043801839828371,0.0162396992058905,0.1101452077141795,4.493354709696961,3.6996264869182647,3.9995594191691435
10,15,0,3,1.741686285672052,0.0162382909782571,0.1841627773698146,4.502465568002365,3.6996265193075004,3.999263348890521
10,15,0,3,1.6043601674854622,0.0162368665892369,0.0232246619157804,4.510155830620814,3.6996265520684477,3.999907101352337
10,15,0,3,1.505143346241724,0.0162406169975593,0.0628717484016734,4.515711972610463,3.6996264658090565,3.9997485130063932
10,15,0,3,1.5348687270146375,0.016228666301008,0.1032186344996472,4.51404735128718,3.699626740675077,3.9995871254620012
10,15,0,3,1.7215273254589711,0.0,0.0,4.503594469774297,3.7,4.0
10,15,0,3,1.569776700828416,0.0,0.0,4.512092504753609,3.7,4.0
10,15,0,3,2.030025134232534,0.0,0.0,4.486318592482978,3.7,4.0
10,15,0,3,1.506315992860816,0.0,0.0,4.515646304399794,3.7,4.0
10,15,0,3,1.4269513509830518,0.0,0.0,4.520090724344949,3.7,4.0
10,15,0,3,1.6450588768405403,0.0162369024907137,0.1537564197713785,4.5078767028969295,3.6996265512427136,3.9993849743209147
10,15,0,3,1.612399097146435,0.0162540447293335,0.1298952712214214,4.509705650559799,3.6996261569712257,3.9994804189151143
10,15,0,3,1.5707263700942546,0.0,0.0,4.512039323274721,3.7,4.0
10,15,0,3,1.4610135742372958,0.0,0.0,4.518183239842711,3.7,4.0
10,15,0,3,1.839278930697588,0.0,0.0,4.497000379880935,3.7,4.0
10,15,0,3,1.8056025240776623,0.0162308811141907,0.0417923439309718,4.498886258651651,3.699626689734374,3.999832830624276
10,15,0,3,2.0013802534307064,0.0325091763587683,1.1903321398172149,4.48792270580788,3.6992522889437485,3.995238671440731
10,20,0,3,1.867100789788964,0.0162385005971155,0.1141463639883435,4.495442355771818,3.6996265144862663,3.9995434145440467
10,20,0,3,1.80736431149535,0.0162340912666884,0.1757675775944597,4.49878759855626,3.699626615900866,3.9992969296896224
10,20,0,3,1.7457547728789036,0.0162425531912696,0.1313887090280096,4.502237732718781,3.699626421276601,3.999474445163888
10,20,0,3,1.776666575894668,0.0162403632664608,0.2719865556690278,4.500506671749898,3.6996264716448715,3.9989120537773237
10,20,0,3,2.6799783347532404,0.0487993251771204,1.7323760112548934,4.449921213253818,3.698877615520926,3.9930704959549805
10,20,0,3,2.3781788943578395,0.0813653486722993,2.2200312444181507,4.4668219819159605,3.698128596980537,3.9911198750223273
10,20,0,3,1.834466455402043,0.0324847383530941,0.3118052808379874,4.497269878497486,3.699252851017879,3.998752778876648
10,20,0,3,1.6131959136100396,0.0,0.0,4.509661028837837,3.7,4.0
10,20,0,3,1.6307557773063337,0.0,0.0,4.508677676470845,3.7,4.0
10,20,0,3,1.790098432655563,0.0,0.0,4.4997544877712885,3.7,4.0
10,20,0,3,1.5879229790077132,0.0,0.0,4.511076313175567,3.7,4.0
10,20,0,3,1.700046687610121,0.0,0.0,4.504797385493833,3.7,4.0
10,20,0,3,1.558563294783472,0.0,0.0,4.512720455492126,3.7,4.0
10,20,0,3,1.465323542985416,0.0,0.0,4.517941881592816,3.7,4.0
10,20,0,3,1.6316821153853158,0.0,0.0,4.508625801538422,3.7,4.0
10,20,0,3,1.6413852486943252,0.0162451076565905,0.0237270519095557,4.508082426073117,3.6996263625238988,3.9999050917923618
10,20,0,3,1.6322689290183388,0.0,0.0,4.508592939974973,3.7,4.0
10,20,0,3,1.9823890655528125,0.0162349580645563,0.0453063454821831,4.488986212329042,3.6996265959645154,3.9998187746180713
10,20,0,3,1.6232131568200023,0.0,0.0,4.50910006321808,3.7,4.0
10,20,0,3,1.4647182747260998,0.0,0.0,4.517975776615338,3.7,4.0
10,0,0,3,1.59235567588582,0.0,0.0,4.510828082150394,3.7,4.0
10,0,0,3,1.645781606863428,0.0,0.0,4.507836230015648,3.7,4.0
10,0,0,3,1.5920383443643884,0.0,0.0,4.510845852715594,3.7,4.0
10,0,0,3,1.7949152076554538,0.0,0.0,4.4994847483712945,3.7,4.0
10,0,0,3,1.429443616270493,0.0,0.0,4.519951157488852,3.7,4.0
10,0,0,3,1.4071778933277843,0.0,0.0,4.521198037973644,3.7,4.0
10,0,0,3,1.5421935737185484,0.0,0.0,4.513637159871761,3.7,4.0
10,0,0,3,1.6831259324891987,0.0,0.0,4.505744947780604,3.7,4.0
