Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength
1,'2025-01-31 00:09:06,'2025-01-31 00:10:26,3.81,65,9.805985927581787,80.64041566848755,1.29,10,15,0,3
2,'2025-01-31 00:10:26,'2025-01-31 00:11:47,3.82,65,9.764212369918823,160.96742248535156,1.11,10,15,0,3
3,'2025-01-31 00:11:47,'2025-01-31 00:13:07,3.81,65,9.648749351501465,241.114248752594,1.1,10,15,0,3
4,'2025-01-31 00:13:07,'2025-01-31 00:14:27,3.83,65,9.662625312805176,321.3387219905853,1.1,10,15,0,3
5,'2025-01-31 00:14:27,'2025-01-31 00:15:47,3.82,65,9.700336456298828,401.5903263092041,1.1,10,15,0,3
6,'2025-01-31 00:15:47,'2025-01-31 00:17:08,3.82,65,9.75931453704834,481.9480309486389,1.1,10,15,0,3
7,'2025-01-31 00:17:08,'2025-01-31 00:18:28,3.81,65,9.66394329071045,562.1320495605469,1.1,10,15,0,3
8,'2025-01-31 00:18:28,'2025-01-31 00:19:48,3.78,65,9.72411584854126,642.4056329727173,1.1,10,15,0,3
9,'2025-01-31 00:19:48,'2025-01-31 00:21:08,3.81,65,9.701466083526611,722.6335418224335,1.1,10,15,0,3
10,'2025-01-31 00:21:08,'2025-01-31 00:22:29,3.8,65,9.710976839065552,802.9057581424713,1.1,10,15,0,3
11,'2025-01-31 00:22:29,'2025-01-31 00:23:49,3.8,65,9.716981410980225,883.1466591358185,1.1,10,15,0,3
12,'2025-01-31 00:23:49,'2025-01-31 00:25:09,3.77,65,9.68722152709961,963.3345274925232,1.1,10,15,0,3
13,'2025-01-31 00:25:09,'2025-01-31 00:26:29,3.8,65,9.679284811019897,1043.544527053833,1.1,10,15,0,3
14,'2025-01-31 00:26:29,'2025-01-31 00:27:49,3.8,65,9.69469428062439,1123.7263638973236,1.1,10,15,0,3
15,'2025-01-31 00:27:49,'2025-01-31 00:29:10,3.82,65,9.740822553634644,1203.983299255371,1.11,10,15,0,3
16,'2025-01-31 00:29:10,'2025-01-31 00:30:30,3.8,65,9.69670033454895,1284.2017197608948,1.1,10,15,0,3
17,'2025-01-31 00:30:30,'2025-01-31 00:31:50,3.79,65,9.68960428237915,1364.4329888820648,1.1,10,15,0,3
18,'2025-01-31 00:31:50,'2025-01-31 00:33:10,3.81,65,9.709728956222534,1444.6446874141693,1.11,10,15,0,3
19,'2025-01-31 00:33:10,'2025-01-31 00:34:31,3.8,65,9.7025887966156,1524.8318567276,1.1,10,15,0,3
20,'2025-01-31 00:34:31,'2025-01-31 00:35:51,3.81,65,9.765265703201294,1605.1090281009674,1.1,10,15,0,3
1,'2025-01-31 00:35:51,'2025-01-31 00:37:11,3.76,65,9.740952491760254,80.23711848258972,1.1,10,20,0,3
2,'2025-01-31 00:37:11,'2025-01-31 00:38:31,3.77,65,9.615631103515625,160.41041779518127,1.1,10,20,0,3
3,'2025-01-31 00:38:31,'2025-01-31 00:39:51,3.79,65,9.676767826080322,240.58463144302368,1.1,10,20,0,3
4,'2025-01-31 00:39:51,'2025-01-31 00:41:12,3.82,65,9.816170930862427,320.9230592250824,1.1,10,20,0,3
5,'2025-01-31 00:41:12,'2025-01-31 00:42:32,3.77,65,9.667081594467163,401.06474113464355,1.1,10,20,0,3
6,'2025-01-31 00:42:32,'2025-01-31 00:43:52,3.79,65,9.751817226409912,481.4032382965088,1.1,10,20,0,3
7,'2025-01-31 00:43:52,'2025-01-31 00:45:12,3.82,65,9.706402778625488,561.6227567195892,1.1,10,20,0,3
8,'2025-01-31 00:45:12,'2025-01-31 00:46:33,3.78,65,9.654892444610596,641.8138842582703,1.11,10,20,0,3
9,'2025-01-31 00:46:33,'2025-01-31 00:47:53,3.81,65,9.687864065170288,722.0136888027191,1.1,10,20,0,3
10,'2025-01-31 00:47:53,'2025-01-31 00:49:13,3.8,65,9.654757022857666,802.2377820014954,1.1,10,20,0,3
11,'2025-01-31 00:49:13,'2025-01-31 00:50:33,3.77,65,9.70109748840332,882.4471020698547,1.1,10,20,0,3
