Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
1,jitter_values_20250131_001024.csv,10,15,0,3,9.4963883270731,0.5292608145821328,16.684834960993932,1.666121981153761,0,,0.0,0.0,0.0
2,jitter_values_20250131_001145.csv,10,15,0,3,10.325217391304347,0.5094372038846435,16.681456869565217,2.181728553177798,0,,0.0,0.0,0.0
3,jitter_values_20250131_001305.csv,10,15,0,3,9.99710312862109,0.31386903828217805,16.68533534183082,1.5528922321020326,0,,0.0,0.0,0.0
4,jitter_values_20250131_001425.csv,10,15,0,3,10.493190379600115,1.0207399949880922,16.692296406838597,1.9043801839828374,1,40.1158,0.11014520771417953,0.0,0.016239699205890534
5,jitter_values_20250131_001546.csv,10,15,0,3,9.74384236453202,0.7302087551915202,16.690863923500434,1.741686285672052,1,44.6746,0.1841627773698146,0.0,0.01623829097825716
6,jitter_values_20250131_001706.csv,10,15,0,3,10.0617033603708,0.5207536344521635,16.68451636732329,1.6043601674854622,1,34.7637,0.023224661915780435,0.0,0.016236866589236912
7,jitter_values_20250131_001826.csv,10,15,0,3,10.789107763615295,0.4899660991329956,16.68590866164542,1.5051433462417239,1,37.2046,0.06287174840167346,0.0,0.016240616997559323
8,jitter_values_20250131_001946.csv,10,15,0,3,9.176317313259988,0.4628143787856367,16.680897336421538,1.5348687270146375,1,39.6936,0.10321863449964722,0.0,0.016228666301008037
9,jitter_values_20250131_002107.csv,10,15,0,3,10.705131922296317,1.1564305186073232,16.70364873876486,1.7215273254589711,0,,0.0,0.0,0.0
10,jitter_values_20250131_002227.csv,10,15,0,3,11.491304347826087,0.5320243484517831,16.68959147826087,1.569776700828416,0,,0.0,0.0,0.0
11,jitter_values_20250131_002347.csv,10,15,0,3,9.644180660104228,0.5172097697470869,16.68148396062536,2.030025134232534,0,,0.0,0.0,0.0
12,jitter_values_20250131_002507.csv,10,15,0,3,8.96293078482479,0.23290643120048465,16.680625514045758,1.5063159928608159,0,,0.0,0.0,0.0
13,jitter_values_20250131_002628.csv,10,15,0,3,9.81870836953374,0.4294056090619841,16.683583203011874,1.4269513509830518,0,,0.0,0.0,0.0
14,jitter_values_20250131_002748.csv,10,15,0,3,10.137561540689255,0.4450247262821385,16.68469090645815,1.6450588768405405,1,42.8029,0.1537564197713785,0.0,0.016236902490713776
15,jitter_values_20250131_002908.csv,10,15,0,3,11.043793503480279,1.1630102070906616,16.69950907772622,1.612399097146435,1,41.3249,0.12989527122142142,0.0,0.016254044729333582
16,jitter_values_20250131_003028.csv,10,15,0,3,9.954821894005212,0.2575354577758625,16.68140596582682,1.5707263700942546,0,,0.0,0.0,0.0
17,jitter_values_20250131_003148.csv,10,15,0,3,8.949334105385061,0.27128928610826963,16.679766126230458,1.4610135742372958,0,,0.0,0.0,0.0
18,jitter_values_20250131_003309.csv,10,15,0,3,9.75152041702867,0.45377409177320827,16.68018824210831,1.8392789306975879,0,,0.0,0.0,0.0
19,jitter_values_20250131_003429.csv,10,15,0,3,9.512887344338257,0.5400196643497343,16.68234228207356,1.8056025240776623,1,35.9082,0.041792343930971844,0.0,0.016230881114190736
20,jitter_values_20250131_003549.csv,10,15,0,3,13.217454334589736,2.1683034394224356,16.70623244418672,2.0013802534307064,2,"83.7224, 56.1748",1.1903321398172149,13.773799999999998,0.03250917635876837
21,jitter_values_20250131_003709.csv,10,20,0,3,10.219872537659327,0.79736539954233,16.684878910776362,1.8671007897889638,1,40.3627,0.1141463639883435,0.0,0.016238500597115527
22,jitter_values_20250131_003829.csv,10,20,0,3,9.83053302433372,0.5235297524409476,16.68702639049826,1.80736431149535,1,44.1604,0.17576757759445974,0.0,0.016234091266688472
23,jitter_values_20250131_003950.csv,10,20,0,3,10.380759200231816,0.5620053150750245,16.68687476093886,1.7457547728789036,1,41.4225,0.1313887090280096,0.0,0.016242553191269608
24,jitter_values_20250131_004110.csv,10,20,0,3,10.612865835989568,0.7903014939060683,16.688699594320486,1.776666575894668,1,50.0809,0.27198655566902785,0.0,0.016240363266460802
25,jitter_values_20250131_004230.csv,10,20,0,3,14.357619738751815,3.4817181603067815,16.719961103047897,2.6799783347532404,3,"47.9734, 39.2542, 119.2724",1.7323760112548934,35.8429974268646,0.048799325177120476
26,jitter_values_20250131_004350.csv,10,20,0,3,15.629210220673635,3.945810009169678,16.72680069686411,2.3781788943578395,5,"58.1669, 84.3727, 48.9055, 61.5518, 50.0934",2.2200312444181507,12.799339882447061,0.08136534867229932
27,jitter_values_20250131_004511.csv,10,20,0,3,11.082898550724638,1.0125754684448198,16.698184376811597,1.8344664554020427,2,"49.9601, 35.9036",0.3118052808379874,7.02825,0.032484738353094116
28,jitter_values_20250131_004631.csv,10,20,0,3,8.979160636758321,0.233611388398347,16.67835615050651,1.6131959136100396,0,,0.0,0.0,0.0
29,jitter_values_20250131_004751.csv,10,20,0,3,8.98233931673422,0.2754154371031617,16.679414157498552,1.6307557773063335,0,,0.0,0.0,0.0
30,jitter_values_20250131_004911.csv,10,20,0,3,10.528679026651217,0.5857777292300167,16.685935805330242,1.790098432655563,0,,0.0,0.0,0.0
31,jitter_values_20250131_005032.csv,10,20,0,3,11.760951552074268,1.3397169769489978,16.711239541630402,1.5879229790077132,0,,0.0,0.0,0.0
32,jitter_values_20250131_005152.csv,10,20,0,3,9.457573124818998,0.5621909380850966,16.682154358528816,1.700046687610121,0,,0.0,0.0,0.0
33,jitter_values_20250131_005312.csv,10,20,0,3,9.950767448595425,0.29065717794861684,16.681632030118738,1.558563294783472,0,,0.0,0.0,0.0
34,jitter_values_20250131_005432.csv,10,20,0,3,8.951939779965258,0.28477233094751164,16.679704777070064,1.4653235429854161,0,,0.0,0.0,0.0
35,jitter_values_20250131_005552.csv,10,20,0,3,9.408919779901534,0.5712819412732915,16.686629539530845,1.6316821153853158,0,,0.0,0.0,0.0
36,jitter_values_20250131_005713.csv,10,20,0,3,11.12902290518991,1.194484716346027,16.701063119744855,1.6413852486943252,1,34.7939,0.023727051909555787,0.0,0.016245107656590516
37,jitter_values_20250131_005833.csv,10,20,0,3,9.001158412974226,0.3175055616469403,16.680587807703443,1.6322689290183388,0,,0.0,0.0,0.0
