Interval,Time
138.3969,70.94625400022976
2.6094,70.9796440002299
1.137,70.96293400022992
1.1371,70.99633400022984
1.3235,71.01301400023
1.2132,71.02972400022996
1.3994,71.04642400023015
2.487,71.06310400023033
2.411,71.07978400023049
2.1196,71.09647400023043
1.132,71.1131540002306
1.5305,71.12982400023053
1.2778,71.14648400023067
1.2309,71.16317400023061
1.1795,71.17985400023079
1.4541,71.19653400023095
1.4973,71.2131940002311
2.1678,71.22987400023126
1.8714,71.24655400023144
1.7181,71.2632640002314
1.4275,71.27994400023157
1.4983,71.31329400023166
1.0479,71.29662400023173
0.8656,71.32997400023183
1.0186,71.346654000232
1.1337,71.36333400023216
1.5898,71.38000400023209
2.2134,71.39670400023228
1.9145,71.41338400023244
1.6067,71.43003400023235
2.3641,71.44674400023231
1.4764,71.46342400023248
1.3524,71.48010400023264
1.4375,71.4967940002326
1.1754,71.51347400023276
1.6408,71.53012400023266
2.4839,71.54680400023284
3.1495,71.56345400023274
1.3667,71.5801340002329
2.0649,71.59681400023308
1.5919,71.64681400023355
0.8171,71.6134540002332
0.8909,71.63013400023337
0.829,71.66346400023345
0.9502,71.68014400023361
0.8251,71.69682400023379
0.9062,71.71350400023395
0.8702,71.73018400023412
0.8397,71.74685400023405
0.8667,71.76354400023399
2.3103,71.78023400023393
1.1673,71.79692400023387
1.344,71.81360400023405
1.6557,71.83028400023422
0.8774,71.84695400023413
0.7019,71.86362400023407
0.5812,71.88030400023423
0.6266,71.8969840002344
0.6041,71.91366400023456
0.5577,71.93032400023472
0.6735,71.94699400023464
0.7474,71.96366400023457
0.6562,71.98033400023449
0.6347,71.99700400023441
0.6304,72.01369400023437
0.5394,72.03037400023453
0.5566,72.0470540002347
0.5426,72.06373400023486
0.5278,72.08041400023504
0.5604,72.0970940002352
0.6403,72.11377400023537
0.953,72.13045400023553
1.1149,72.14714400023549
0.7793,72.16382400023565
1.1969,72.18049400023557
0.7716,72.19717400023573
0.8044,72.21385400023591
0.7383,72.23053400023608
0.6033,72.24721400023624
0.5743,72.26390400023618
0.544,72.28057400023611
0.5427,72.29725400023628
0.5721,72.31393400023644
0.5578,72.33061400023662
0.5837,72.34729400023679
0.5565,72.36397400023695
1.5526,72.38064400023687
14.1515,72.3973140002368
16.9508,72.41399400023697
16.5401,72.43066400023689
17.4226,72.44735400023684
16.7785,72.464034000237
16.4234,72.48071400023717
16.585,72.49740400023713
16.7433,72.51408400023729
17.9588,72.53076400023745
14.013,72.5474540002374
17.2267,72.56413400023756
15.6708,72.58081400023774
18.1635,72.5974940002379
15.3978,72.61416400023782
17.4147,72.630844000238
16.5271,72.64752400023816
16.7662,72.66419400023808
16.6564,72.68088400023804
16.7958,72.6975640002382
17.1123,72.71423400023812
15.5887,72.73091400023829
17.2616,72.74760400023824
16.7189,72.7642840002384
17.8444,72.78097400023834
17.583,72.79764400023828
19.2036,72.8143140002382
13.8875,72.83100400023814
17.8228,72.84767400023807
17.6645,72.86434400023799
12.4774,72.88103400023793
18.2308,72.89772400023789
15.3638,72.9143940002378
16.7416,72.93107400023797
16.9277,72.9477440002379
17.6519,72.96442400023807
15.7026,72.98110400023823
17.0617,72.99777400023817
16.5495,73.01445400023833
16.7315,73.03115400023852
15.6468,73.04782400023844
16.5864,73.06450400023861
16.594,73.08118400023878
16.6645,73.09786400023894
16.6371,73.11456400023913
16.4987,73.13125400023907
17.3144,73.14798400023905
17.1346,73.16469400023902
16.6231,73.18137400023919
16.1497,73.19804400023911
18.1015,73.21476400023931
15.5439,73.23145400023927
16.5947,73.24817400023946
16.9913,73.26486400023941
15.9903,73.28153400023933
17.0859,73.29823400023952
16.4447,73.31487400023966
16.9804,73.33154400023957
16.2186,73.34822400023974
16.7729,73.36490400023992
17.372,73.38159400023986
15.7906,73.3982840002398
17.5578,73.41492400023994
16.1185,73.4316340002399
16.9634,73.44834400023986
16.3834,73.46499400023977
16.7501,73.48169400023995
17.1504,73.49843400024017
16.1213,73.51514400024014
17.8239,73.5318240002403
14.8824,73.54846400024043
18.163,73.56512400024059
15.1929,73.58181400024053
16.5647,5.0139433333445345
16.4222,5.030593333344441
17.3981,5.047233333344571
16.3509,5.063903333344497
16.6043,5.0805733333444225
16.175,5.0972533333445895
15.8492,5.1139033333444965
17.0483,5.13061333334446
16.3896,5.147293333344627
17.3287,5.1639833333445715
16.8091,5.1806633333447385
17.9932,5.197373333344702
14.7727,5.214063333344646
16.592,5.2307433333448135
16.3831,5.2473933333447205
16.9898,5.26405333334487
16.77,5.280763333344832
16.641,5.297443333345
16.6407,5.314123333345167
16.6016,5.330793333345093
16.9188,5.347483333345037
16.572,5.364163333345204
16.751,5.380873333345168
17.3129,5.397563333345111
15.9274,5.414243333345279
16.8306,5.430903333345428
16.1719,5.4475633333455775
17.0294,5.4642433333457445
16.5074,5.48091333334567
16.8454,5.497603333345614
16.6411,5.514283333345782
16.7784,5.53096333334595
16.8331,5.547633333345875
16.4985,5.564263333345763
16.7134,5.580933333345689
16.9091,5.597633333345875
16.6891,5.614333333346061
16.3224,5.6309733333461915
17.6189,5.647663333346136
16.5428,5.664343333346303
58.3944,5.681033333346248
7.5424,5.699343333346303
6.4269,5.717673333346378
10.3165,5.736063333346508
16.616,5.754463333346416
16.2786,5.77279333334649
16.6332,5.791113333346322
17.2972,5.80949333334621
16.8626,5.827803333346266
17.1784,5.846123333346099
15.684,5.864453333346173
16.4702,5.881133333346341
16.7147,5.897803333346267
16.8717,5.914483333346434
16.6298,5.931133333346341
16.8714,5.947833333346527
16.5901,5.964533333346713
16.6308,5.981193333346862
16.6685,5.997883333346807
16.628,6.014563333346974
17.0645,6.031243333347142
16.5589,6.0479333333470855
16.7067,6.064613333347253
16.8934,6.081283333347179
16.4198,6.097953333347104
16.4494,6.114603333347011
17.2734,6.131293333346956
17.1733,6.1479933333471415
16.4103,6.164693333347328
16.9572,6.181373333347496
17.0109,6.198053333347663
16.4764,6.214733333347831
15.5083,6.231413333347999
16.7099,6.248093333348166
16.57,6.264773333348334
16.5021,6.281463333348278
17.0732,6.2981133333481845
16.5535,6.31478333334811
16.3952,6.331443333348259
16.9295,6.348123333348427
16.8315,6.364813333348371
16.6578,6.381513333348558
16.2358,6.398193333348725
16.648,6.414853333348874
17.0847,6.431533333349042
16.8852,6.448243333349004
16.4936,6.46496333334921
16.8128,6.481623333349359
16.3841,6.498293333349284
16.588,6.514963333349209
16.8824,6.531613333349116
16.5906,6.548263333349023
16.5153,6.5649433333491904
16.796,6.581613333349116
