FrameInterval,DisplayInterval,seq,emitTime
0,,,
4,,,
12,,,
19,,,
15,,,
16,,,
25,,,
9,,,
16,,,
15,,,
17,,,
16,,,
17,,,
17,,,
16,,,
18,,,
16,,,
17,,,
17,,,
16,,,
17,,,
16,,,
17,,,
16,,,
18,,,
16,,,
17,,,
16,,,
17,,,
16,,,
17,,,
18,,,
15,,,
17,,,
17,,,
17,,,
16,,,
17,,,
17,,,
16,,,
19,,,
16,,,
15,,,
17,,,
17,,,
16,,,
17,,,
16,,,
17,,,
17,,,
17,,,
18,,,
16,,,
16,,,
17,,,
16,,,
17,,,
16,,,
17,,,
16,,,
18,,,
16,,,
17,,,
17,,,
16,,,
17,,,
16,,,
17,,,
17,,,
16,,,
17,,,
18,,,
16,,,
16,,,
17,,,
17,,,
16,,,
17,,,
17,,,
17,,,
17,,,
16,,,
16,,,
17,,,
18,,,
16,,,
16,,,
17,,,
16,,,
18,,,
16,,,
17,,,
16,,,
17,,,
16,,,
17,,,
17,,,
17,,,
16,,,
17,,,
16,,,
17,,,
17,,,
16,,,
17,,,
17,,,
17,,,
17,,,
16,,,
17,,,
17,,,
16,,,
17,,,
17,,,
16,,,
17,,,
17,,,
17,,,
16,,,
16,,,
17,,,
17,,,
16,,,
18,,,
16,,,
18,,,
16,,,
16,,,
16,,,
18,,,
16,,,
17,,,
16,,,
17,,,
20,,,
13,,,
17,,,
18,,,
16,,,
17,,,
16,,,
18,,,
16,,,
16,,,
17,,,
16,,,
17,,,
18,,,
15,,,
18,,,
16,,,
17,,,
16,,,
16,,,
17,,,
17,,,
17,,,
17,,,
17,,,
16,,,
16,,,
17,,,
17,,,
17,,,
17,,,
17,,,
16,,,
17,,,
16,,,
17,,,
17,,,
16,,,
17,,,
16,,,
17,,,
16,,,
17,,,
17,,,
17,,,
16,,,
18,,,
17,,,
15,,,
17,,,
17,,,
17,,,
17,,,
18,,,
15,,,
17,,,
16,,,
17,,,
16,,,
17,,,
17,,,
16,,,
18,,,
16,,,
16,,,
17,,,
