Interval,Time
110.814,72.65316333356965
2.5892,72.68652333357
1.1387,72.66984333356982
1.038,72.70320333357016
0.9646,72.7198933335701
0.8321,72.73657333357026
0.8182,72.75327333357045
1.0067,72.7699633335704
1.8291,72.78664333357057
2.7578,72.80336333357077
1.1804,72.82004333357094
0.9225,72.8367233335711
0.9089,72.85343333357108
1.0163,72.87012333357102
0.9328,72.88679333357094
0.8344,72.9034733335711
0.976,72.92013333357126
0.8907,72.93681333357142
0.8125,72.95350333357136
0.8396,72.97016333357152
0.7592,72.98687333357148
0.6844,73.00356333357142
0.7656,73.02024333357159
0.6429,73.03691333357152
0.727,73.05362333357148
1.1389,73.08699333357158
1.3291,73.07032333357166
0.9669,73.10367333357176
0.9747,73.1203333335719
0.7803,73.13700333357183
0.6498,73.15367333357176
0.6556,73.1703633335717
0.6464,73.18701333357161
0.8078,73.20372333357157
0.7041,73.22038333357172
0.7078,73.2370833335719
0.6796,73.25377333357186
0.6381,73.2704633335718
0.6302,73.28714333357196
0.6265,73.3038133335719
0.6254,73.32047333357204
0.6932,73.33712333357194
0.7153,73.35381333357189
0.618,73.37046333357179
0.6258,73.38713333357173
0.693,73.40377333357185
1.2041,73.42045333357201
1.0103,73.43711333357217
1.9894,73.45379333357234
0.8739,73.47046333357225
0.6194,73.48714333357243
0.7617,73.5038233335726
0.6095,73.52049333357252
0.5816,73.5371733335727
0.5022,73.55385333357286
0.5032,73.57052333357278
0.5239,73.58719333357271
0.5359,73.60387333357288
0.5322,73.62055333357304
0.5128,73.6372333335732
0.6059,73.65390333357314
0.5935,73.6705833335733
0.524,73.68726333357347
0.5456,73.70394333357363
0.7385,73.72062333357381
0.5492,73.73730333357398
0.5475,73.75398333357414
0.5936,73.7706633335743
0.7112,73.78734333357448
0.7874,73.80403333357442
1.0667,73.82071333357459
0.8235,73.83739333357475
1.5898,73.85407333357493
0.8607,73.8707533335751
0.8009,73.90410333357518
0.6426,73.92078333357536
0.5953,73.88742333357501
0.5737,73.93746333357552
0.6078,73.95413333357544
0.6741,73.97081333357562
0.6209,73.98749333357578
0.5996,74.00417333357595
0.6049,74.02085333357611
0.5902,74.03752333357605
0.6164,74.05420333357621
14.2159,74.07088333357638
16.8349,74.08756333357654
16.0012,74.10424333357672
16.9562,74.12092333357688
15.6089,74.1375933335768
17.3132,74.15427333357697
17.0167,74.17095333357715
16.4446,74.18762333357706
17.145,74.204313333577
16.3763,74.22100333357696
16.6227,74.23768333357712
17.4383,74.25436333357729
16.7032,74.27103333357722
16.9236,74.28772333357716
16.7767,74.30440333357733
17.1637,74.32108333357749
15.3574,74.33776333357767
16.9265,74.35445333357761
18.8779,74.37113333357777
15.2732,74.3878033335777
16.004,74.40448333357787
16.5331,74.42116333357804
16.9065,74.43785333357798
16.4469,74.45452333357791
17.2013,74.47121333357785
16.0135,74.48790333357779
16.4001,74.50458333357795
16.9959,74.52126333357813
15.545,74.5379433335783
16.7902,74.55462333357846
16.7768,74.57130333357863
16.3527,74.5879833335788
16.5585,74.60466333357897
17.0312,74.62134333357913
16.6396,74.63801333357905
16.8603,74.65468333357899
16.6176,74.67136333357915
16.5436,74.68804333357932
16.7104,74.70471333357925
16.5133,74.72140333357919
16.7365,74.73808333357935
16.6936,74.75476333357952
16.5297,74.7714433335797
16.8327,74.78812333357986
31.6757,74.8048133335798
11.5813,74.82149333357997
9.4925,74.83817333358014
14.4217,74.85484333358006
16.7789,74.87154333358025
17.4818,74.88821333358018
16.4028,74.90493333358039
16.6318,74.92164333358035
16.2496,74.93832333358051
16.7474,74.95501333358045
16.6327,74.97169333358062
16.7091,74.98838333358057
16.6207,75.00506333358074
16.9762,75.02178333358094
16.7234,75.03848333358113
16.3304,75.05516333358129
16.9955,75.07184333358147
16.2947,75.08849333358137
16.4131,75.10517333358153
16.5469,75.12184333358147
16.8829,75.1385333335814
17.0146,75.15522333358135
16.4773,75.17190333358153
16.6404,75.18855333358142
16.8344,75.20522333358134
16.6581,75.2219133335813
17.6942,75.23859333358146
16.8314,75.25532333358144
16.2733,75.27199333358136
16.5396,75.28868333358132
15.277,75.30535333358124
18.406,75.32201333358138
6.7468,5.015893333339598
9.539,5.034243333339691
16.3744,5.052583333339542
16.9059,5.070903333339374
16.6406,5.089273333339486
16.8762,5.1075733333393
16.4674,5.125883333339356
17.4187,5.144273333339486
16.5594,5.1626533333393745
16.7591,5.179373333339579
16.5674,5.196053333339747
17.1232,5.212763333339709
16.5027,5.229473333339673
17.2239,5.246193333339877
16.9269,5.262883333339822
16.7449,5.2796033333400265
16.0318,5.296283333340194
16.781,5.3129333333401005
16.8547,5.329613333340268
16.7956,5.346283333340194
16.7968,5.362993333340157
16.4998,5.3796633333400825
16.0098,5.3963133333399895
16.3199,5.41295333334012
16.7411,5.429603333340027
16.9367,5.446253333339933
16.3995,5.462943333339878
16.0799,5.4796233333400455
16.9906,5.4963033333402125
16.8055,5.51298333334038
16.6875,5.529663333340548
16.6939,5.546353333340492
16.6529,5.563063333340454
16.7648,5.579773333340418
16.7247,5.59648333334038
16.6366,5.613193333340343
16.741,5.629903333340306
17.4654,5.646603333340492
16.2893,5.663253333340399
17.0654,5.679923333340325
16.1585,5.696583333340474
16.4272,5.713263333340641
16.4424,5.729953333340585
16.2416,5.7466033333404924
17.1827,5.763273333340417
17.398,5.779913333340548
16.9468,5.7965833333404735
15.5646,5.813263333340641
17.1503,5.829993333340623
16.2048,5.846693333340808
16.8749,5.863363333340734
17.6443,5.88003333334066
16.9008,5.896693333340809
16.5266,5.913403333340772
16.9352,5.930093333340715
14.7946,5.946793333340902
17.156,5.963483333340846
17.2106,5.98017333334079
16.5788,5.996833333340939
17.167,6.01347333334107
16.3185,6.030183333341032
16.5895,6.0468633333412
16.6477,6.063553333341144
16.697,6.080233333341312
16.649,6.09691333334148
16.7456,6.113603333341423
16.7079,6.130283333341591
16.6976,6.146953333341517
17.3069,6.163633333341684
15.5502,6.180343333341647
16.7362,6.197033333341591
16.5188,6.213723333341536
16.6978,6.230413333341479
16.5342,6.247093333341647
17.2598,6.263763333341572
17.717,6.280413333341479
16.9948,6.297073333341628
16.6171,6.313743333341554
16.9315,6.330423333341721
16.5249,6.347093333341647
16.6487,6.363763333341573
16.6724,6.3804333333414975
14.7679,6.397093333341647
16.686,6.4137633333415724
17.4478,6.43044333334174
16.6845,6.447153333341703
16.6547,6.4638433333416465
16.6879,6.480533333341591
16.6822,6.497213333341759
16.4118,6.513873333341908
16.4565,6.530553333342075
16.6808,6.547233333342243
16.3256,6.563903333342169
16.5485,6.580573333342094
16.9465,6.597253333342262
16.3211,6.613913333342411
17.4844,6.630593333342579
16.2815,6.647273333342746
16.3416,6.663923333342653
17.2748,6.680623333342839
16.6424,6.697293333342764
16.5685,6.7139333333428945
16.6635,6.730633333343081
16.6909,6.747323333343025
16.5814,6.764003333343193
16.3073,6.780683333343361
17.1894,6.797373333343304
16.7045,6.81404333334323
17.0937,6.830733333343174
15.7861,6.847383333343081
16.8895,6.864053333343007
16.7955,6.880773333343211
16.6286,6.897453333343379
16.9706,6.914133333343547
16.3153,6.930783333343454
17.1758,6.947493333343417
16.4889,6.964163333343342
16.1516,6.9808133333432485
16.8971,6.997503333343193
17.3233,7.014223333343398
16.3049,7.030923333343584
16.0185,7.047573333343491
17.5275,7.064253333343658
16.4019,7.080943333343603
16.5549,7.09762333334377
17.0211,7.114263333343901
16.642,7.130943333344068
16.5948,7.1476533333440315
16.5155,7.16431333334418
16.9295,7.180973333344329
17.2262,7.197643333344255
16.6117,7.214343333344441
16.6765,7.2309933333443475
15.885,7.247663333344273
16.7589,7.264343333344441
17.0106,7.281043333344627
16.6425,7.297713333344553
16.6717,7.314393333344721
16.728,7.331093333344906
16.6095,7.347783333344851
16.7523,7.364483333345037
16.6266,7.381173333344981
17.1562,7.397883333344944
17.1457,7.4145733333448876
16.2876,7.431293333345093
16.8691,7.447983333345037
16.4318,7.464673333344981
16.7338,7.481363333344925
16.6703,7.49805333334487
16.7266,7.514743333344813
16.864,7.531413333344739
16.5457,7.548093333344907
16.5622,7.564773333345074
15.8191,7.581413333345204
16.7942,7.59808333334513
16.5269,7.614763333345298
16.76,7.631443333345465
16.6766,7.648123333345633
16.7645,7.664803333345801
16.005,7.681443333345931
16.9938,7.698113333345857
16.6944,7.714783333345782
16.4666,7.731423333345912
17.1581,7.7481333333458755
17.2386,7.7648133333460425
16.3178,7.7814633333459495
16.5645,7.7981133333458565
15.8482,7.814753333345987
17.2941,7.831423333345913
16.5738,7.848133333345875
16.4123,7.864803333345801
16.8388,7.881473333345726
16.9165,7.898183333345689
16.7515,7.914873333345633
16.8255,7.931553333345801
16.3409,7.948253333345987
16.4241,7.9649333333461545
17.035,7.981643333346117
16.8559,7.998333333346062
17.0421,8.015023333346006
16.1046,8.031693333345931
17.0523,8.048363333345856
16.3009,8.065013333345764
16.9657,8.081683333345689
16.9157,8.098373333345632
16.6297,8.1150533333458
15.9246,8.131733333345968
16.5018,8.148383333345874
16.943,8.165043333346024
16.6638,8.181703333346173
16.6861,8.198413333346135
16.9853,8.21510333334608
17.1557,8.231823333346284
17.5472,8.248473333346192
16.8525,8.265133333346341
16.4505,8.28181333334651
15.0818,8.298513333346694
16.8537,8.3152333333469
16.9107,8.331923333346843
16.8694,8.348613333346789
17.5251,8.365293333346955
16.3786,8.381963333346881
15.9932,8.398633333346806
16.6142,8.415343333346769
17.0017,8.432023333346937
16.3758,8.448703333347105
16.7691,8.465393333347048
16.6529,8.482063333346973
16.5905,8.4987333333469
16.8857,8.515423333346844
16.3964,8.532093333346769
17.5919,8.548763333346695
16.7229,8.565423333346844
16.5396,8.58207333334675
16.6187,8.5987333333469
16.051,8.615403333346825
16.7369,8.63209333334677
16.2417,8.648753333346919
17.6493,8.665433333347085
16.7452,8.682093333347234
17.3094,8.698773333347402
16.6349,8.715473333347589
16.3401,8.732143333347514
17.0657,8.7488433333477
15.1785,8.765543333347887
16.5506,8.78225333334785
16.9292,8.798923333347775
16.5946,8.815633333347737
16.2743,8.832283333347645
17.5031,8.848973333347589
17.6203,8.865673333347775
15.345,8.882323333347681
17.5889,8.899043333347887
17.3107,8.915723333348055
16.3488,8.932413333347998
16.6618,8.949083333347923
16.1902,8.965763333348091
15.7496,8.982433333348018
16.7451,8.999163333348
16.8241,9.015843333348165
16.2919,9.032503333348314
16.8613,9.04919333334826
16.6822,9.065843333348166
17.1494,9.082543333348353
16.5827,9.099213333348278
16.7255,9.115853333348408
16.8261,9.132523333348335
16.739,9.14917333334824
16.9021,9.16583333334839
16.8086,9.182503333348315
16.6859,9.199183333348483
16.8851,9.215893333348445
16.6122,9.232593333348632
16.616,9.249263333348557
16.3782,9.265933333348483
17.084,9.282643333348446
16.4749,9.299323333348614
16.724,9.316023333348799
16.663,9.332713333348744
