Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,40,2,3,600,2.0,3.105046692451296,0.1459411378774229,3.6845093264010607,4.426117385222727,3.6966433538288195,3.9852619626943957
10,40,2,3,600,2.0,1.9513782309173964,0.0324546543429044,0.077901426093743,4.490722819068625,3.6992535429501134,3.999688394295625
10,40,2,3,600,2.0,1.9412010296941016,0.0487836069953089,0.0658610891617287,4.49129274233713,3.6988779770391083,3.999736555643353
10,40,2,3,600,2.0,1.8231188277487111,0.0325139889268737,0.0450860429692722,4.497905345646072,3.699252178254682,3.999819655828123
10,40,2,3,600,2.0,1.7153670978891211,0.0162494187194379,0.0244271986806945,4.503939442518209,3.699626263369453,3.9999022912052773
10,40,2,3,600,2.0,1.7191410251463708,0.0487564781585452,0.0535053266268688,4.503728102591803,3.6988786010023538,3.9997859786934926
10,40,2,3,600,2.0,1.7521962426334927,0.0324824572079767,0.0785804560739921,4.501877010412524,3.6992529034842168,3.999685678175704
10,40,2,3,600,2.0,1.8886583927755636,0.0487059364598737,0.0433677333532472,4.494235130004568,3.698879763461423,3.999826529066587
10,40,2,3,600,2.0,1.728816074803828,0.0324683007808918,0.0456330928253169,4.503186299810985,3.6992532290820397,3.9998174676286986
10,40,2,3,600,2.0,1.8247149835162173,0.0650184021650818,0.0703672060375943,4.497815960923091,3.6985045767502034,3.9997185311758496
10,40,2,3,600,2.0,1.864148279141544,0.0487628833724598,0.0377521917983693,4.495607696368073,3.6988784536824335,3.9998489912328066
10,40,2,3,600,2.0,1.6799017495301012,0.032480169318475,0.0646149445164175,4.505925502026314,3.699252956105675,3.9997415402219345
10,20,2,3,600,2.0,1.7292646862125187,0.0,0.0,4.503161177572099,3.7,4.0
10,20,2,3,600,2.0,1.5998782933469045,0.0,0.0,4.510406815572573,3.7,4.0
10,20,2,3,600,2.0,1.6670088028225567,0.0,0.0,4.5066475070419365,3.7,4.0
10,20,2,3,600,2.0,1.2930887847848362,0.0,0.0,4.527587028052049,3.7,4.0
10,20,2,3,600,2.0,1.804993221563553,0.0,0.0,4.498920379592441,3.7,4.0
10,20,2,3,600,2.0,2.121632897457166,0.0,0.0,4.481188557742398,3.7,4.0
10,20,2,3,600,2.0,1.4773263896295266,0.0,0.0,4.517269722180746,3.7,4.0
10,20,2,3,600,2.0,1.8160460612206384,0.0,0.0,4.498301420571644,3.7,4.0
10,20,2,3,600,2.0,1.8227518997740115,0.0,0.0,4.497925893612655,3.7,4.0
10,20,2,3,600,2.0,1.72090000675991,0.0,0.0,4.503629599621445,3.7,4.0
10,20,2,3,600,2.0,1.6610810917435122,0.0,0.0,4.506979458862363,3.7,4.0
10,20,2,3,600,2.0,1.671573718836647,0.0,0.0,4.506391871745147,3.7,4.0
10,20,2,3,600,2.0,1.604935422513737,0.0,0.0,4.51012361633923,3.7,4.0
10,20,2,3,600,2.0,1.6575275724519605,0.0,0.0,4.5071784559426895,3.7,4.0
10,20,2,3,600,2.0,1.6529490672213034,0.0,0.0,4.5074348522356065,3.7,4.0
10,20,2,3,600,2.0,1.5809747930836724,0.0,0.0,4.511465411587314,3.7,4.0
10,20,2,3,600,2.0,1.9664865573443675,0.0,0.0,4.489876752788715,3.7,4.0
10,20,2,3,600,2.0,1.6487867606162263,0.0,0.0,4.507667941405491,3.7,4.0
10,20,2,3,600,2.0,1.8406821003674028,0.0,0.0,4.4969218023794255,3.7,4.0
10,20,2,3,600,2.0,1.9172624209067848,0.0,0.0,4.492633304429219,3.7,4.0
10,0,2,3,600,2.0,1.5958499109824702,0.0,0.0,4.510632404984982,3.7,4.0
10,0,2,3,600,2.0,1.67868068481156,0.0,0.0,4.505993881650553,3.7,4.0
10,0,2,3,600,2.0,1.79250070781137,0.0,0.0,4.499619960362563,3.7,4.0
10,0,2,3,600,2.0,1.7268249446183783,0.0,0.0,4.50329780310137,3.7,4.0
10,0,2,3,600,2.0,1.452743306940786,0.0,0.0,4.518646374811316,3.7,4.0
10,0,2,3,600,2.0,1.5240470175115135,0.0,0.0,4.5146533670193545,3.7,4.0
10,0,2,3,600,2.0,2.0341486539130837,0.0,0.0,4.486087675380867,3.7,4.0
10,0,2,3,600,2.0,1.7080646266759032,0.0,0.0,4.504348380906149,3.7,4.0
10,0,2,3,600,2.0,1.7436720535985692,0.0162260887429951,0.0050441393031798,4.50235436499848,3.6996267999589114,3.9999798234427875
10,0,2,3,600,2.0,1.5334165976701617,0.0,0.0,4.514128670530471,3.7,4.0
10,0,2,3,600,2.0,1.746912186522282,0.0,0.0,4.502172917554752,3.7,4.0
10,0,2,3,600,2.0,1.5249199982590105,0.0,0.0,4.514604480097495,3.7,4.0
10,0,2,3,600,2.0,1.6320865745025377,0.0,0.0,4.508603151827858,3.7,4.0
10,0,2,3,600,2.0,1.6164573543974083,0.0,0.0,4.509478388153744,3.7,4.0
10,0,2,3,600,2.0,2.0038344741369527,0.0,0.0,4.48778526944833,3.7,4.0
10,0,2,3,600,2.0,1.686904323292787,0.0,0.0,4.505533357895604,3.7,4.0
10,0,2,3,600,2.0,1.8140361353081909,0.0,0.0,4.498413976422741,3.7,4.0
10,0,2,3,600,2.0,1.6730881884833066,0.0,0.0,4.506307061444934,3.7,4.0
10,0,2,3,600,2.0,1.6374794020182897,0.0,0.0,4.5083011534869755,3.7,4.0
10,0,2,3,600,2.0,1.7022704188482525,0.0,0.0,4.504672856544498,3.7,4.0
