Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
1,'2025-02-10 18:39:05,'2025-02-10 18:40:26,3.8,65,9.936274528503418,80.66134285926819,1.29,10,40,0,3,600,2
2,'2025-02-10 18:40:26,'2025-02-10 18:41:46,3.78,65,9.770875692367554,160.9306399822235,1.11,10,40,0,3,600,2
3,'2025-02-10 18:41:46,'2025-02-10 18:43:06,3.81,65,9.663853883743286,241.15417051315308,1.11,10,40,0,3,600,2
4,'2025-02-10 18:43:06,'2025-02-10 18:44:27,3.79,65,9.717934608459473,321.3715498447418,1.1,10,40,0,3,600,2
5,'2025-02-10 18:44:27,'2025-02-10 18:45:47,3.77,65,9.695489883422852,401.59065651893616,1.1,10,40,0,3,600,2
6,'2025-02-10 18:45:47,'2025-02-10 18:47:07,3.83,65,9.754199028015137,481.8935079574585,1.1,10,40,0,3,600,2
7,'2025-02-10 18:47:07,'2025-02-10 18:48:28,3.8,65,9.745290756225586,562.2371530532837,1.11,10,40,0,3,600,2
8,'2025-02-10 18:48:28,'2025-02-10 18:49:48,3.79,65,9.648319721221924,642.3948431015015,1.11,10,40,0,3,600,2
9,'2025-02-10 18:49:48,'2025-02-10 18:51:08,3.86,65,9.719133377075195,722.6811244487762,1.11,10,40,0,3,600,2
10,'2025-02-10 18:51:08,'2025-02-10 18:52:28,3.78,65,9.743317365646362,802.9622259140015,1.11,10,40,0,3,600,2
11,'2025-02-10 18:52:28,'2025-02-10 18:53:49,3.78,65,9.72261357307434,883.2039175033569,1.1,10,40,0,3,600,2
12,'2025-02-10 18:53:49,'2025-02-10 18:55:09,3.82,65,9.758520126342773,963.5020499229431,1.11,10,40,0,3,600,2
13,'2025-02-10 18:55:09,'2025-02-10 18:56:29,3.8,65,9.722296714782715,1043.8036489486694,1.1,10,40,0,3,600,2
14,'2025-02-10 18:56:29,'2025-02-10 18:57:50,3.82,65,9.783114433288574,1124.2153146266937,1.11,10,40,0,3,600,2
15,'2025-02-10 18:57:50,'2025-02-10 18:59:10,3.8,65,9.676820993423462,1204.3856468200684,1.1,10,40,0,3,600,2
16,'2025-02-10 18:59:10,'2025-02-10 19:00:30,3.82,65,9.805891752243042,1284.7665314674377,1.11,10,40,0,3,600,2
17,'2025-02-10 19:00:30,'2025-02-10 19:01:50,3.82,65,9.637564659118652,1364.9594542980194,1.11,10,40,0,3,600,2
18,'2025-02-10 19:01:50,'2025-02-10 19:03:11,3.83,65,9.704945802688599,1445.2672634124756,1.11,10,40,0,3,600,2
19,'2025-02-10 19:03:11,'2025-02-10 19:04:31,3.79,65,9.715827941894531,1525.5743222236633,1.1,10,40,0,3,600,2
20,'2025-02-10 19:04:31,'2025-02-10 19:05:51,3.83,65,9.747072458267212,1605.8614854812622,1.11,10,40,0,3,600,2
21,'2025-02-10 19:05:51,'2025-02-10 19:07:12,3.82,65,9.788262128829956,1686.2719376087189,1.11,10,40,0,3,600,2
22,'2025-02-10 19:07:12,'2025-02-10 19:08:32,3.79,65,9.73807954788208,1766.582603931427,1.11,10,40,0,3,600,2
23,'2025-02-10 19:08:32,'2025-02-10 19:09:52,3.82,65,9.782737970352173,1846.909943819046,1.11,10,40,0,3,600,2
24,'2025-02-10 19:09:52,'2025-02-10 19:11:13,3.81,65,9.745699167251587,1927.2762858867645,1.12,10,40,0,3,600,2
25,'2025-02-10 19:11:13,'2025-02-10 19:12:33,3.82,65,9.78580617904663,2007.6286644935608,1.11,10,40,0,3,600,2
26,'2025-02-10 19:12:33,'2025-02-10 19:13:53,3.79,65,9.749640941619873,2087.9211041927338,1.1,10,40,0,3,600,2
27,'2025-02-10 19:13:53,'2025-02-10 19:15:14,3.85,65,9.669120788574219,2168.188684463501,1.11,10,40,0,3,600,2
28,'2025-02-10 19:15:14,'2025-02-10 19:16:34,3.82,65,9.773499488830566,2248.4800667762756,1.1,10,40,0,3,600,2
29,'2025-02-10 19:16:34,'2025-02-10 19:17:54,3.79,65,9.701634883880615,2328.7172260284424,1.1,10,40,0,3,600,2
30,'2025-02-10 19:17:54,'2025-02-10 19:19:14,3.81,65,9.750993490219116,2409.006566762924,1.1,10,40,0,3,600,2
31,'2025-02-10 19:19:14,'2025-02-10 19:20:35,3.79,65,9.70544147491455,2489.2259845733643,1.11,10,40,0,3,600,2
32,'2025-02-10 19:20:35,'2025-02-10 19:21:55,3.81,65,9.747331142425537,2569.4820160865784,1.1,10,40,0,3,600,2
33,'2025-02-10 19:21:55,'2025-02-10 19:23:15,3.8,65,9.802741765975952,2649.8094565868378,1.1,10,40,0,3,600,2
34,'2025-02-10 19:23:15,'2025-02-10 19:24:35,3.79,65,9.77046823501587,2730.1335763931274,1.1,10,40,0,3,600,2
