Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude
1,'2025-01-27 18:19:28,'2025-01-27 18:20:48,2.32,60,15.689951419830322,79.34863305091858,1.34,10,20
2,'2025-01-27 18:20:48,'2025-01-27 18:22:09,3.81,60,15.784903287887573,160.80512523651123,1.11,10,20
3,'2025-01-27 18:22:09,'2025-01-27 18:23:30,3.79,60,15.681469202041626,242.0062255859375,1.11,10,20
4,'2025-01-27 18:23:30,'2025-01-27 18:24:52,3.76,60,15.765035152435303,323.23980689048767,1.11,10,20
5,'2025-01-27 18:24:52,'2025-01-27 18:26:13,3.82,60,15.737343549728394,404.5393135547638,1.1,10,20
6,'2025-01-27 18:26:13,'2025-01-27 18:27:34,3.79,60,15.79647445678711,485.8670837879181,1.11,10,20
7,'2025-01-27 18:27:34,'2025-01-27 18:28:56,3.78,60,15.730672359466553,567.0834839344025,1.11,10,20
8,'2025-01-27 18:28:56,'2025-01-27 18:30:17,3.82,60,15.710424900054932,648.3905568122864,1.11,10,20
9,'2025-01-27 18:30:17,'2025-01-27 18:31:38,3.79,60,15.701627969741821,729.5999879837036,1.11,10,20
10,'2025-01-27 18:31:38,'2025-01-27 18:32:59,3.79,60,15.695680379867554,810.8681125640869,1.1,10,20
1,'2025-01-27 18:32:59,'2025-01-27 18:34:21,3.82,60,15.840381145477295,80.76738238334656,1.11,10,20
2,'2025-01-27 18:34:21,'2025-01-27 18:35:42,3.81,60,15.770456790924072,162.0765941143036,1.11,10,20
3,'2025-01-27 18:35:42,'2025-01-27 18:37:03,3.84,60,15.745893478393555,243.4200291633606,1.1,10,20
4,'2025-01-27 18:37:03,'2025-01-27 18:38:25,3.77,60,15.766708612442017,324.65586948394775,1.1,10,20
5,'2025-01-27 18:38:25,'2025-01-27 18:39:46,3.82,60,15.766753911972046,405.98410534858704,1.11,10,20
6,'2025-01-27 18:39:46,'2025-01-27 18:41:07,3.8,60,15.767712593078613,487.3079686164856,1.11,10,20
7,'2025-01-27 18:41:07,'2025-01-27 18:42:28,3.77,60,15.718811511993408,568.5651865005493,1.11,10,20
8,'2025-01-27 18:42:28,'2025-01-27 18:43:50,3.78,60,15.702573299407959,649.7379744052887,1.1,10,20
9,'2025-01-27 18:43:50,'2025-01-27 18:45:11,3.79,60,15.76350998878479,731.0285148620605,1.11,10,20
10,'2025-01-27 18:45:11,'2025-01-27 18:46:32,3.8,60,15.718843698501587,812.3265578746796,1.1,10,20
1,'2025-01-27 18:46:32,'2025-01-27 18:47:53,3.31,60,15.706203937530518,80.12230157852173,1.1,10,0
2,'2025-01-27 18:47:53,'2025-01-27 18:49:14,3.31,60,15.753992557525635,160.9355070590973,1.11,10,0
3,'2025-01-27 18:49:14,'2025-01-27 18:50:35,3.28,60,15.748528003692627,241.67046689987183,1.11,10,0
4,'2025-01-27 18:50:35,'2025-01-27 18:51:55,3.3,60,15.710161209106445,322.4152076244354,1.11,10,0
5,'2025-01-27 18:51:55,'2025-01-27 18:53:16,3.28,60,15.7322096824646,403.1270418167114,1.11,10,0
6,'2025-01-27 18:53:16,'2025-01-27 18:54:37,3.27,60,15.764899730682373,483.91622853279114,1.11,10,0
7,'2025-01-27 18:54:37,'2025-01-27 18:55:58,3.28,60,15.763961553573608,564.6505126953125,1.11,10,0
8,'2025-01-27 18:55:58,'2025-01-27 18:57:18,3.27,60,15.773298501968384,645.4719750881195,1.11,10,0
9,'2025-01-27 18:57:18,'2025-01-27 18:58:39,3.32,60,15.77438497543335,726.2711682319641,1.11,10,0
10,'2025-01-27 18:58:39,'2025-01-27 19:00:00,3.29,60,15.739481449127197,807.0297565460205,1.11,10,0
1,'2025-01-27 19:00:00,'2025-01-27 19:01:21,3.27,60,15.753240585327148,80.13508701324463,1.11,10,0
2,'2025-01-27 19:01:21,'2025-01-27 19:02:41,3.29,60,15.71053695678711,160.85349106788635,1.12,10,0
3,'2025-01-27 19:02:41,'2025-01-27 19:04:02,3.33,60,15.778672456741333,241.67541813850403,1.1,10,0
4,'2025-01-27 19:04:02,'2025-01-27 19:05:23,3.26,60,15.752235651016235,322.44790983200073,1.11,10,0
5,'2025-01-27 19:05:23,'2025-01-27 19:06:44,3.27,60,15.735738039016724,403.2441830635071,1.11,10,0
6,'2025-01-27 19:06:44,'2025-01-27 19:08:05,3.27,60,15.765000581741333,483.99365425109863,1.11,10,0
7,'2025-01-27 19:08:05,'2025-01-27 19:09:25,3.31,60,15.792783975601196,564.8692185878754,1.11,10,0
8,'2025-01-27 19:09:25,'2025-01-27 19:10:46,3.29,60,15.790648221969604,645.6487004756927,1.11,10,0
9,'2025-01-27 19:10:46,'2025-01-27 19:12:07,3.29,60,15.721161365509033,726.3674962520599,1.11,10,0
10,'2025-01-27 19:12:07,'2025-01-27 19:13:28,3.28,60,15.669611930847168,807.0367271900177,1.11,10,0
