Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM,QoE_Delay
1,40,E-Policy,3,600,2.0,2.3730585331640133,0.0186199802476313,0.937962251914852,4.4671087221428145,3.6995717404543047,3.9962481509923404,4.004503424657535
1,40,E-Policy,3,600,2.0,2.0353775565669388,0.0336394131688381,0.7023612097240993,4.486018856832251,3.6992262934971167,3.9971905551611036,4.0058670343137255
1,40,E-Policy,3,600,2.0,2.2387192495128843,0.0168147276954199,0.8991669918118401,4.474631722027278,3.6996132612630057,3.9964033320327528,4.005425727411945
1,40,E-Policy,3,600,2.0,1.925991459808428,0.0168202405368968,0.6173073018880966,4.492144478250728,3.6996131344676515,3.9975307707924475,4.006464460784314
1,40,E-Policy,3,600,2.0,2.2571292163195715,0.0336318522516755,0.8993601568866283,4.473600763886104,3.6992264673982116,3.9964025593724535,4.0052022058823535
1,40,E-Policy,3,600,2.0,2.2488537049806503,0.0168195545680315,0.9020102741977396,4.474064192521083,3.6996131502449354,3.996391958903209,4.003185298621746
1,40,E-Policy,3,600,2.0,1.9594813816427268,0.016816823017306,0.90481681889806,4.4902690426280065,3.6996132130706023,3.9963807327244076,4.006885145482389
1,40,E-Policy,3,600,2.0,2.1069067298035447,0.0168145648239013,0.838074499316298,4.482013223131001,3.6996132650090505,3.996647702002735,4.003543198529412
1,40,E-Policy,3,600,2.0,2.310689683467412,0.016816526478359,0.8703456509014267,4.470601377725824,3.699613219890998,3.9965186173963945,4.00447932618683
1,40,E-Policy,3,600,2.0,2.018733353505511,0.033638275770276,0.9473854049875108,4.486950932203691,3.6992263196572837,3.99621045838005,4.002052067381317
1,40,E-Policy,3,600,2.0,2.3302355144010565,0.0338246210170456,1.207654515213924,4.469506811193541,3.699222033716608,3.9951693819391445,4.007886216466235
1,40,E-Policy,3,600,2.0,2.3379477061229097,0.0168157595008818,1.1182188482816655,4.4690749284571165,3.69961323753148,3.9955271246068733,4.005996937212864
1,40,E-Policy,3,600,2.0,2.2115442423521934,0.0338502709684871,0.88596368366255,4.476153522428277,3.699221443767725,3.9964561452653498,4.003540123456791
1,40,E-Policy,3,600,2.0,2.38122376899391,0.0168149490557066,1.1099458079843991,4.466651468936341,3.6996132561717188,3.9955602167680624,3.999477794793262
1,40,E-Policy,3,600,2.0,2.157494656634252,0.0336276730008624,0.5597197040729238,4.4791802992284815,3.6992265635209804,3.9977611211837085,4.006049004594181
1,40,E-Policy,3,600,2.0,2.263332749072864,0.0168158954963801,1.17407011751087,4.473253366051919,3.6996132344035835,3.9953037195299563,4.005679938744257
1,40,E-Policy,3,600,2.0,2.3467229227388016,0.0168113072101707,1.1549765808915902,4.4685835163266265,3.6996133399341664,3.9953800936764337,4.005910900183711
1,40,E-Policy,3,600,2.0,2.373986354336953,0.016816223573025,1.1951267559609289,4.46705676415713,3.699613226857821,3.9952194929761564,4.0049418070444105
1,40,E-Policy,3,600,2.0,2.030690169656585,0.0168181627841269,0.7940101204652761,4.4862813504992305,3.6996131822559652,3.9968239595181387,4.001718223583461
1,40,E-Policy,3,600,2.0,2.148208860273234,0.0168173688777012,0.8230263254521669,4.479700303824699,3.699613200515813,3.9967078946981913,4.0052328431372555
1,40,E-Policy,3,600,2.0,2.3384461453589305,0.016963713925046,1.151369096611417,4.4690470158599,3.699609834579724,3.9953945236135544,4.005463821892394
1,40,E-Policy,3,600,2.0,2.2902612468002204,0.0338905233954068,1.0991142736418336,4.471745370179187,3.6992205179619058,3.9956035429054326,3.9984615384615387
1,40,E-Policy,3,600,2.0,1.957604278890924,0.0336418285146191,0.855957991623839,4.490374160382108,3.699226237944164,3.9965761680335046,4.006230085784314
1,40,E-Policy,3,600,2.0,2.2622341904973604,0.0336395857493531,1.1469153026889674,4.473314885332147,3.699226289527765,3.995412338789244,4.0014062500000005
1,40,E-Policy,3,600,2.0,2.221217091016272,0.0168137106963169,1.1248215415778136,4.4756118429030884,3.699613284653985,3.995500713833689,4.006787136294028
1,40,E-Policy,3,600,2.0,2.3749289923613355,0.0168194413262368,1.1577471704450475,4.4670039764277645,3.699613152849497,3.99536901131822,4.004762488507509
1,40,E-Policy,3,600,2.0,2.6930139945021905,0.2354281223527926,1.5404940528765492,4.449191216307877,3.6945851531858858,3.9938380237884936,4.008693721286371
1,40,E-Policy,3,600,2.0,3.001759119704637,0.1177076430292914,2.776932852296332,4.43190148929654,3.6972927242103264,3.988892268590815,4.009088685015291
1,40,E-Policy,3,600,2.0,2.21286686582652,0.0168179592508857,0.8618273410214005,4.476079455513714,3.69961318693723,3.9965526906359146,4.003814338235294
1,40,E-Policy,3,600,2.0,2.054641772698625,0.033648844090788,0.9329080110297856,4.484940060728877,3.699226076585912,3.996268367955881,4.004287247087676
1,40,E-Policy,3,600,2.0,2.2389489285881883,0.0168167520893049,1.1192385317016424,4.474618859999061,3.6996132147019463,3.9955230458731936,4.0041786699356425
1,40,E-Policy,3,600,2.0,3.162701405718232,0.1681971687253907,3.075405504685793,4.4228887212797785,3.6961314651193162,3.987698377981257,4.008359877488515
1,40,E-Policy,3,600,2.0,2.211220687998183,0.0336532378099828,1.2141285908652435,4.476171641472101,3.6992259755303705,3.995143485636539,4.002260190009194
1,40,E-Policy,3,600,2.0,2.2235108826907872,0.0168136566951453,0.8918899359236732,4.475483390569315,3.699613285896012,3.996432440256305,4.004762633996937
