Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
4,'2025-02-28 19:28:02,'2025-02-28 19:29:27,3.81,64.10787463188171,15.777236700057983,337.2151484489441,1,20,0,3,600,2
5,'2025-02-28 19:29:27,'2025-02-28 19:30:51,3.81,64.10661101341248,15.745855331420898,421.45920872688293,1,20,0,3,600,2
6,'2025-02-28 19:30:51,'2025-02-28 19:32:15,3.79,64.10717010498047,15.824162244796753,505.91511583328247,1,20,0,3,600,2
7,'2025-02-28 19:32:15,'2025-02-28 19:33:40,3.79,64.10745096206665,15.76415205001831,590.2018585205078,1,20,0,3,600,2
8,'2025-02-28 19:33:40,'2025-02-28 19:35:04,3.79,64.108407497406,15.760258674621582,674.4794158935547,1,20,0,3,600,2
9,'2025-02-28 19:35:04,'2025-02-28 19:36:29,3.95,64.11017107963562,15.90616750717163,759.0947027206421,1,20,0,3,600,2
10,'2025-02-28 19:36:29,'2025-02-28 19:37:53,3.81,64.10788297653198,15.798776149749756,843.4634027481079,1,20,0,3,600,2
11,'2025-02-28 19:37:53,'2025-02-28 19:39:17,3.79,64.10752201080322,15.847538709640503,927.8045909404755,1,20,0,3,600,2
12,'2025-02-28 19:39:17,'2025-02-28 19:40:42,3.83,64.10812020301819,15.902918338775635,1012.2407829761505,1,20,0,3,600,2
13,'2025-02-28 19:40:42,'2025-02-28 19:42:06,3.86,64.10734152793884,15.845416069030762,1096.678235054016,1,20,0,3,600,2
14,'2025-02-28 19:42:06,'2025-02-28 19:43:30,3.81,64.11060786247253,15.715534925460815,1180.9059405326843,1,20,0,3,600,2
15,'2025-02-28 19:43:30,'2025-02-28 19:44:55,3.78,64.10905456542969,15.75499176979065,1265.1600472927094,1,20,0,3,600,2
16,'2025-02-28 19:44:55,'2025-02-28 19:46:19,3.87,64.11092925071716,15.796385765075684,1349.5505783557892,1,20,0,3,600,2
17,'2025-02-28 19:46:19,'2025-02-28 19:47:43,3.8,64.10834622383118,15.771337270736694,1433.8583862781525,1,20,0,3,600,2
18,'2025-02-28 19:47:43,'2025-02-28 19:49:08,3.83,64.10796880722046,15.75828766822815,1518.205308675766,1,20,0,3,600,2
19,'2025-02-28 19:49:08,'2025-02-28 19:50:32,3.84,64.10715174674988,15.75862741470337,1602.4978806972504,1,20,0,3,600,2
20,'2025-02-28 19:50:32,'2025-02-28 19:51:56,3.83,64.10971593856812,15.821158409118652,1686.8546340465546,1,20,0,3,600,2
21,'2025-02-28 19:51:56,'2025-02-28 19:53:21,3.81,64.10688066482544,15.809030294418335,1771.2108988761902,1,20,0,3,600,2
22,'2025-02-28 19:53:21,'2025-02-28 19:54:45,3.82,64.11101865768433,15.761297464370728,1855.5033493041992,1,20,0,3,600,2
23,'2025-02-28 19:54:45,'2025-02-28 19:56:09,3.81,64.1078679561615,15.80504322052002,1939.855089187622,1,20,0,3,600,2
24,'2025-02-28 19:56:09,'2025-02-28 19:57:34,3.8,64.10812616348267,15.715872049331665,2024.1275334358215,1,20,0,3,600,2
25,'2025-02-28 19:57:34,'2025-02-28 19:58:58,3.82,64.1073157787323,15.775299310684204,2108.4333860874176,1,20,0,3,600,2
26,'2025-02-28 19:58:58,'2025-02-28 20:00:22,3.84,64.1078360080719,15.783202886581421,2192.765785217285,1,20,0,3,600,2
27,'2025-02-28 20:00:22,'2025-02-28 20:01:47,3.8,64.10660886764526,15.75742769241333,2277.07631111145,1,20,0,3,600,2
28,'2025-02-28 20:01:47,'2025-02-28 20:03:11,3.8,64.1071367263794,15.78418231010437,2361.384779214859,1,20,0,3,600,2
29,'2025-02-28 20:03:11,'2025-02-28 20:04:35,3.79,64.1078667640686,15.809560060501099,2445.7074341773987,1,20,0,3,600,2
30,'2025-02-28 20:04:35,'2025-02-28 20:06:00,3.81,64.11194276809692,15.785897731781006,2530.0869092941284,1,20,0,3,600,2
31,'2025-02-28 20:06:00,'2025-02-28 20:07:24,3.8,64.1111352443695,15.787692785263062,2614.4612226486206,1,20,0,3,600,2
32,'2025-02-28 20:07:24,'2025-02-28 20:08:48,3.82,64.10966181755066,15.83864712715149,2698.820482969284,1,20,0,3,600,2
33,'2025-02-28 20:08:48,'2025-02-28 20:10:13,3.76,64.10689902305603,15.753748178482056,2783.114375114441,1,20,0,3,600,2
34,'2025-02-28 20:10:13,'2025-02-28 20:11:37,3.8,64.10718321800232,15.753911018371582,2867.3822119235992,1,20,0,3,600,2
35,'2025-02-28 20:11:37,'2025-02-28 20:13:01,3.82,64.10836505889893,15.781511068344116,2951.699628353119,1,20,0,3,600,2
1,'2025-02-28 20:13:01,'2025-02-28 20:14:25,3.32,64.10756254196167,15.799777746200562,83.9114089012146,1,0,0,3,600,2
2,'2025-02-28 20:14:25,'2025-02-28 20:15:49,3.32,64.10812020301819,15.781169414520264,167.71098160743713,1,0,0,3,600,2
3,'2025-02-28 20:15:49,'2025-02-28 20:17:13,3.3,64.10774731636047,15.777674436569214,251.51683259010315,1,0,0,3,600,2
4,'2025-02-28 20:17:13,'2025-02-28 20:18:37,3.33,64.10770583152771,15.787567615509033,335.42668056488037,1,0,0,3,600,2
5,'2025-02-28 20:18:37,'2025-02-28 20:20:00,3.31,64.1071925163269,15.779341459274292,419.23150157928467,1,0,0,3,600,2
6,'2025-02-28 20:20:00,'2025-02-28 20:21:24,3.28,64.1103298664093,15.748193264007568,502.9856469631195,1,0,0,3,600,2
7,'2025-02-28 20:21:24,'2025-02-28 20:22:48,3.31,64.1100800037384,15.761610746383667,586.7566692829132,1,0,0,3,600,2
8,'2025-02-28 20:22:48,'2025-02-28 20:24:12,3.3,64.10763001441956,15.804996967315674,670.578483581543,1,0,0,3,600,2
9,'2025-02-28 20:24:12,'2025-02-28 20:25:36,3.31,64.1072416305542,15.78442907333374,754.4178838729858,1,0,0,3,600,2
10,'2025-02-28 20:25:36,'2025-02-28 20:27:00,3.32,64.10776853561401,15.795013904571533,838.2498004436493,1,0,0,3,600,2
11,'2025-02-28 20:27:00,'2025-02-28 20:28:23,3.31,64.10655117034912,15.73190188407898,922.0055470466614,1,0,0,3,600,2
12,'2025-02-28 20:28:23,'2025-02-28 20:29:47,3.33,64.10833549499512,15.79038143157959,1005.910183429718,1,0,0,3,600,2
13,'2025-02-28 20:29:47,'2025-02-28 20:31:11,3.3,64.10732245445251,15.786983251571655,1089.7083728313446,1,0,0,3,600,2
14,'2025-02-28 20:31:11,'2025-02-28 20:32:35,3.31,64.10790681838989,15.84589147567749,1173.602756023407,1,0,0,3,600,2
15,'2025-02-28 20:32:35,'2025-02-28 20:33:59,3.33,64.1077733039856,15.755935192108154,1257.460030078888,1,0,0,3,600,2
16,'2025-02-28 20:33:59,'2025-02-28 20:35:23,3.3,64.10763669013977,15.812669515609741,1341.3107361793518,1,0,0,3,600,2
17,'2025-02-28 20:35:23,'2025-02-28 20:36:47,3.42,64.10959935188293,15.846418142318726,1425.3133714199066,1,0,0,3,600,2
18,'2025-02-28 20:36:47,'2025-02-28 20:38:10,3.29,64.10718131065369,15.750540494918823,1509.0671520233154,1,0,0,3,600,2
19,'2025-02-28 20:38:10,'2025-02-28 20:39:34,3.31,64.10682272911072,15.736802816390991,1592.8226273059845,1,0,0,3,600,2
20,'2025-02-28 20:39:34,'2025-02-28 20:40:58,3.32,64.10908389091492,15.869665384292603,1676.7042937278748,1,0,0,3,600,2
21,'2025-02-28 20:40:58,'2025-02-28 20:42:22,3.3,64.10723972320557,15.836198091506958,1760.54998087883,1,0,0,3,600,2
22,'2025-02-28 20:42:22,'2025-02-28 20:43:46,3.3,64.10940909385681,15.772789716720581,1844.3673250675201,1,0,0,3,600,2
23,'2025-02-28 20:43:46,'2025-02-28 20:45:09,3.32,64.11089134216309,15.783345460891724,1928.1684062480927,1,0,0,3,600,2
24,'2025-02-28 20:45:09,'2025-02-28 20:46:33,3.32,64.10726070404053,15.766119241714478,2011.9870073795319,1,0,0,3,600,2
25,'2025-02-28 20:46:33,'2025-02-28 20:47:57,3.33,64.10855388641357,15.764840841293335,2095.793609857559,1,0,0,3,600,2
26,'2025-02-28 20:47:57,'2025-02-28 20:49:21,3.3,64.10747408866882,15.877068042755127,2179.678228378296,1,0,0,3,600,2
27,'2025-02-28 20:49:21,'2025-02-28 20:50:45,3.32,64.12145733833313,15.828138828277588,2263.5398416519165,1,0,0,3,600,2
28,'2025-02-28 20:50:45,'2025-02-28 20:52:09,3.31,64.10775113105774,15.700432062149048,2347.2624418735504,1,0,0,3,600,2
29,'2025-02-28 20:52:09,'2025-02-28 20:53:32,3.3,64.10709190368652,15.779434442520142,2431.0603692531586,1,0,0,3,600,2
30,'2025-02-28 20:53:32,'2025-02-28 20:54:56,3.3,64.10685420036316,15.73006796836853,2514.8150565624237,1,0,0,3,600,2
31,'2025-02-28 20:54:56,'2025-02-28 20:56:20,3.31,64.10705900192261,15.818328142166138,2598.655364751816,1,0,0,3,600,2
32,'2025-02-28 20:56:20,'2025-02-28 20:57:44,3.31,64.10830974578857,15.72201132774353,2682.4191131591797,1,0,0,3,600,2
33,'2025-02-28 20:57:44,'2025-02-28 20:59:07,3.32,64.10750579833984,15.696095943450928,2766.1401269435883,1,0,0,3,600,2
34,'2025-02-28 20:59:07,'2025-02-28 21:00:31,3.3,64.10722756385803,15.755934000015259,2849.9425716400146,1,0,0,3,600,2
35,'2025-02-28 21:00:31,'2025-02-28 21:01:55,3.29,64.10751104354858,15.741410970687866,2933.6748769283295,1,0,0,3,600,2
1,'2025-02-28 21:01:55,'2025-02-28 21:03:19,3.81,64.10911750793457,15.82474160194397,84.35037803649902,1,60,0,3,600,2
2,'2025-02-28 21:03:19,'2025-02-28 21:04:44,3.81,64.10784649848938,15.770451068878174,168.6920895576477,1,60,0,3,600,2
3,'2025-02-28 21:04:44,'2025-02-28 21:06:08,3.82,64.10864472389221,15.800726175308228,253.02472949028015,1,60,0,3,600,2
4,'2025-02-28 21:06:08,'2025-02-28 21:07:32,3.81,64.10630512237549,15.76156735420227,337.32886958122253,1,60,0,3,600,2
5,'2025-02-28 21:07:32,'2025-02-28 21:08:57,3.8,64.10969185829163,15.753338098526001,421.64644980430603,1,60,0,3,600,2
6,'2025-02-28 21:08:57,'2025-02-28 21:10:21,3.85,64.11022806167603,15.784038543701172,505.99416184425354,1,60,0,3,600,2
7,'2025-02-28 21:10:21,'2025-02-28 21:11:45,3.83,64.10846257209778,15.854432821273804,590.4006717205048,1,60,0,3,600,2
8,'2025-02-28 21:11:45,'2025-02-28 21:13:10,3.93,64.10796928405762,15.787960290908813,674.9710376262665,1,60,0,3,600,2
9,'2025-02-28 21:13:10,'2025-02-28 21:14:34,3.84,64.1069061756134,15.75155258178711,759.3044657707214,1,60,0,3,600,2
10,'2025-02-28 21:14:34,'2025-02-28 21:15:59,3.83,64.10698938369751,15.758252143859863,843.6796820163727,1,60,0,3,600,2
11,'2025-02-28 21:15:59,'2025-02-28 21:17:23,3.81,64.10693502426147,15.724652767181396,927.9148609638214,1,60,0,3,600,2
12,'2025-02-28 21:17:23,'2025-02-28 21:18:47,3.82,64.10989212989807,15.751464605331421,1012.2313709259033,1,60,0,3,600,2
13,'2025-02-28 21:18:47,'2025-02-28 21:20:12,3.85,64.10721731185913,15.780375242233276,1096.5810198783875,1,60,0,3,600,2
14,'2025-02-28 21:20:12,'2025-02-28 21:21:36,3.86,64.10916662216187,15.747812032699585,1180.8982381820679,1,60,0,3,600,2
15,'2025-02-28 21:21:36,'2025-02-28 21:23:00,3.85,64.10788464546204,15.764612436294556,1265.2572829723358,1,60,0,3,600,2
16,'2025-02-28 21:23:00,'2025-02-28 21:24:25,3.83,64.10675144195557,15.784524202346802,1349.5981340408325,1,60,0,3,600,2
17,'2025-02-28 21:24:25,'2025-02-28 21:25:49,3.8,64.10843467712402,15.754965782165527,1433.9146432876587,1,60,0,3,600,2
18,'2025-02-28 21:25:49,'2025-02-28 21:27:13,3.84,64.10769033432007,15.722253799438477,1518.2532720565796,1,60,0,3,600,2
19,'2025-02-28 21:27:13,'2025-02-28 21:28:38,3.83,64.1118996143341,15.780991315841675,1602.6176640987396,1,60,0,3,600,2
20,'2025-02-28 21:28:38,'2025-02-28 21:30:02,3.85,64.1088638305664,15.730398416519165,1686.9066698551178,1,60,0,3,600,2
21,'2025-02-28 21:30:02,'2025-02-28 21:31:26,3.83,64.10942339897156,15.727678060531616,1771.1775608062744,1,60,0,3,600,2
22,'2025-02-28 21:31:26,'2025-02-28 21:32:50,3.8,64.10729122161865,15.732475757598877,1855.4280557632446,1,60,0,3,600,2
23,'2025-02-28 21:32:50,'2025-02-28 21:34:15,3.81,64.10957646369934,15.786296367645264,1939.7621006965637,1,60,0,3,600,2
24,'2025-02-28 21:34:15,'2025-02-28 21:35:39,3.81,64.1068856716156,15.773430824279785,2024.0411806106567,1,60,0,3,600,2
25,'2025-02-28 21:35:39,'2025-02-28 21:37:04,3.94,64.10926127433777,15.87942624092102,2108.565367460251,1,60,0,3,600,2
26,'2025-02-28 21:37:04,'2025-02-28 21:38:28,3.84,64.10756421089172,15.737807512283325,2192.870132923126,1,60,0,3,600,2
27,'2025-02-28 21:38:28,'2025-02-28 21:39:52,3.83,64.10699605941772,15.775931119918823,2277.2344872951508,1,60,0,3,600,2
28,'2025-02-28 21:39:52,'2025-02-28 21:41:17,3.86,64.10795187950134,15.821055889129639,2361.8150124549866,1,60,0,3,600,2
29,'2025-02-28 21:41:17,'2025-02-28 21:42:41,3.81,64.10731768608093,15.78087043762207,2446.11936879158,1,60,0,3,600,2
30,'2025-02-28 21:42:41,'2025-02-28 21:44:06,3.91,64.11176323890686,15.823622941970825,2530.5792264938354,1,60,0,3,600,2
31,'2025-02-28 21:44:06,'2025-02-28 21:45:30,3.83,64.10780119895935,15.74578309059143,2614.8740842342377,1,60,0,3,600,2
32,'2025-02-28 21:45:30,'2025-02-28 21:46:54,3.87,64.11546850204468,15.745428800582886,2699.327886581421,1,60,0,3,600,2
33,'2025-02-28 21:46:54,'2025-02-28 21:48:19,3.81,64.1084954738617,15.77955412864685,2783.654130458832,1,60,0,3,600,2
34,'2025-02-28 21:48:19,'2025-02-28 21:49:43,3.79,64.10748434066772,15.746822834014893,2867.8986120224,1,60,0,3,600,2
35,'2025-02-28 21:49:43,'2025-02-28 21:51:07,3.82,64.10951685905457,15.749677419662476,2952.2170436382294,1,60,0,3,600,2
1,'2025-02-28 21:51:07,'2025-02-28 21:52:32,3.81,64.1077651977539,15.819095134735107,84.3501250743866,1,80,0,3,600,2
2,'2025-02-28 21:52:32,'2025-02-28 21:53:56,3.84,64.10852193832397,15.77974796295166,168.6719090938568,1,80,0,3,600,2
3,'2025-02-28 21:53:56,'2025-02-28 21:55:20,3.86,64.10773658752441,15.757692098617554,253.03734588623047,1,80,0,3,600,2
4,'2025-02-28 21:55:20,'2025-02-28 21:56:45,3.86,64.10751676559448,15.768240690231323,337.389262676239,1,80,0,3,600,2
5,'2025-02-28 21:56:45,'2025-02-28 21:58:09,3.82,64.10775089263916,15.744292259216309,421.6653997898102,1,80,0,3,600,2
