Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
1,'2025-02-27 18:35:52,'2025-02-27 18:37:17,3.89,64.27877736091614,15.781935214996338,84.59887742996216,2,40,0,3,600,2
2,'2025-02-27 18:37:17,'2025-02-27 18:38:41,3.82,64.10854911804199,15.770597219467163,168.9077091217041,2,40,0,3,600,2
3,'2025-02-27 18:38:41,'2025-02-27 18:40:05,3.87,64.10891008377075,15.750648021697998,253.30642795562744,2,40,0,3,600,2
4,'2025-02-27 18:40:05,'2025-02-27 18:41:30,3.81,64.10718607902527,15.733462810516357,337.635427236557,2,40,0,3,600,2
5,'2025-02-27 18:41:30,'2025-02-27 18:42:54,3.82,64.10801410675049,15.756129741668701,421.93719124794006,2,40,0,3,600,2
6,'2025-02-27 18:42:54,'2025-02-27 18:44:18,3.78,64.10814929008484,15.886935234069824,506.2990040779114,2,40,0,3,600,2
7,'2025-02-27 18:44:18,'2025-02-27 18:45:43,3.83,64.10754895210266,15.795208930969238,590.6523349285126,2,40,0,3,600,2
8,'2025-02-27 18:45:43,'2025-02-27 18:47:07,3.84,64.10667967796326,15.688240051269531,674.9120585918427,2,40,0,3,600,2
9,'2025-02-27 18:47:07,'2025-02-27 18:48:31,3.83,64.11326313018799,15.705513954162598,759.2130868434906,2,40,0,3,600,2
10,'2025-02-27 18:48:31,'2025-02-27 18:49:56,3.82,64.10701084136963,15.76418685913086,843.5456690788269,2,40,0,3,600,2
11,'2025-02-27 18:49:56,'2025-02-27 18:51:20,3.82,64.1227490901947,15.82225751876831,928.0457689762115,2,40,0,3,600,2
12,'2025-02-27 18:51:20,'2025-02-27 18:52:45,3.93,64.10779047012329,15.889252185821533,1012.5857172012329,2,40,0,3,600,2
13,'2025-02-27 18:52:45,'2025-02-27 18:54:09,3.83,64.10640048980713,15.784097671508789,1096.9290447235107,2,40,0,3,600,2
14,'2025-02-27 18:54:09,'2025-02-27 18:55:33,3.81,64.10665082931519,15.761269330978394,1181.3237609863281,2,40,0,3,600,2
15,'2025-02-27 18:55:33,'2025-02-27 18:56:58,3.81,64.1065354347229,15.846344232559204,1265.6884751319885,2,40,0,3,600,2
16,'2025-02-27 18:56:58,'2025-02-27 18:58:22,3.81,64.10698676109314,15.747186660766602,1350.0137569904327,2,40,0,3,600,2
17,'2025-02-27 18:58:22,'2025-02-27 18:59:46,3.82,64.10798025131226,15.431716680526733,1434.030963897705,2,40,0,3,600,2
18,'2025-02-27 18:59:46,'2025-02-27 19:01:10,3.86,64.10761785507202,15.41301703453064,1518.0531046390533,2,40,0,3,600,2
19,'2025-02-27 19:01:10,'2025-02-27 19:02:34,3.8,64.10786485671997,15.722820520401001,1602.278873682022,2,40,0,3,600,2
20,'2025-02-27 19:02:34,'2025-02-27 19:03:59,3.84,64.10712599754333,15.76921558380127,1686.603625535965,2,40,0,3,600,2
21,'2025-02-27 19:03:59,'2025-02-27 19:05:23,3.82,64.11114954948425,15.837615013122559,1771.0221211910248,2,40,0,3,600,2
22,'2025-02-27 19:05:23,'2025-02-27 19:06:47,3.79,64.10661315917969,15.769214391708374,1855.2873630523682,2,40,0,3,600,2
23,'2025-02-27 19:06:47,'2025-02-27 19:08:12,3.81,64.1064977645874,15.782849311828613,1939.6010746955872,2,40,0,3,600,2
24,'2025-02-27 19:08:12,'2025-02-27 19:09:36,3.79,64.10717034339905,15.763882875442505,2023.8988862037659,2,40,0,3,600,2
25,'2025-02-27 19:09:36,'2025-02-27 19:11:00,3.83,64.10785222053528,15.713934183120728,2108.167633533478,2,40,0,3,600,2
26,'2025-02-27 19:11:00,'2025-02-27 19:12:25,3.82,64.10607838630676,15.756158590316772,2192.4511783123016,2,40,0,3,600,2
27,'2025-02-27 19:12:25,'2025-02-27 19:13:49,3.82,64.10891604423523,15.830522537231445,2276.804976463318,2,40,0,3,600,2
28,'2025-02-27 19:13:49,'2025-02-27 19:15:13,3.83,64.10863423347473,15.783453464508057,2361.1368935108185,2,40,0,3,600,2
29,'2025-02-27 19:15:13,'2025-02-27 19:16:38,3.82,64.10739850997925,15.857903718948364,2445.5574474334717,2,40,0,3,600,2
30,'2025-02-27 19:16:38,'2025-02-27 19:18:02,3.79,64.1073579788208,15.751847982406616,2529.8182106018066,2,40,0,3,600,2
31,'2025-02-27 19:18:02,'2025-02-27 19:19:26,3.9,64.10699200630188,15.720460653305054,2614.203483104706,2,40,0,3,600,2
32,'2025-02-27 19:19:26,'2025-02-27 19:20:50,3.8,64.10729241371155,15.705934047698975,2698.412125110626,2,40,0,3,600,2
33,'2025-02-27 19:20:50,'2025-02-27 19:22:15,3.83,64.10736846923828,15.81759262084961,2782.7608807086945,2,40,0,3,600,2
34,'2025-02-27 19:22:15,'2025-02-27 19:23:39,3.82,64.10691237449646,15.751251935958862,2867.099335193634,2,40,0,3,600,2
35,'2025-02-27 19:23:39,'2025-02-27 19:25:04,3.82,64.10872459411621,15.79412055015564,2951.564710855484,2,40,0,3,600,2
1,'2025-02-27 19:25:04,'2025-02-27 19:26:28,3.82,64.10729503631592,15.735025882720947,84.26597213745117,2,20,0,3,600,2
2,'2025-02-27 19:26:28,'2025-02-27 19:27:52,3.81,64.10605645179749,15.764684438705444,168.58836030960083,2,20,0,3,600,2
3,'2025-02-27 19:27:52,'2025-02-27 19:29:16,3.8,64.10980176925659,15.733306646347046,252.858172416687,2,20,0,3,600,2
4,'2025-02-27 19:29:16,'2025-02-27 19:30:41,3.82,64.10771155357361,15.858970403671265,337.2474956512451,2,20,0,3,600,2
5,'2025-02-27 19:30:41,'2025-02-27 19:32:05,3.88,64.10725474357605,15.855621099472046,421.67998003959656,2,20,0,3,600,2
6,'2025-02-27 19:32:05,'2025-02-27 19:33:30,3.83,64.10646629333496,15.782735824584961,506.01085138320923,2,20,0,3,600,2
7,'2025-02-27 19:33:30,'2025-02-27 19:34:54,3.81,64.10892677307129,15.818782329559326,590.3661994934082,2,20,0,3,600,2
8,'2025-02-27 19:34:54,'2025-02-27 19:36:18,3.8,64.10635566711426,15.780001640319824,674.6603863239288,2,20,0,3,600,2
9,'2025-02-27 19:36:18,'2025-02-27 19:37:43,3.92,64.10817837715149,15.781715393066406,759.0784125328064,2,20,0,3,600,2
10,'2025-02-27 19:37:43,'2025-02-27 19:39:07,3.78,64.10596942901611,15.758907794952393,843.3380444049835,2,20,0,3,600,2
11,'2025-02-27 19:39:07,'2025-02-27 19:40:31,3.78,64.10694980621338,15.751414060592651,927.6015191078186,2,20,0,3,600,2
12,'2025-02-27 19:40:31,'2025-02-27 19:41:56,3.81,64.1070020198822,15.752418756484985,1011.9364748001099,2,20,0,3,600,2
13,'2025-02-27 19:41:56,'2025-02-27 19:43:20,3.8,64.10834693908691,15.800677061080933,1096.254222393036,2,20,0,3,600,2
14,'2025-02-27 19:43:20,'2025-02-27 19:44:44,3.82,64.1087896823883,15.752965211868286,1180.5626785755157,2,20,0,3,600,2
15,'2025-02-27 19:44:44,'2025-02-27 19:46:08,3.79,64.10670924186707,15.767674922943115,1264.8191590309143,2,20,0,3,600,2
16,'2025-02-27 19:46:08,'2025-02-27 19:47:33,3.86,64.10713458061218,15.89222526550293,1349.2795701026917,2,20,0,3,600,2
17,'2025-02-27 19:47:33,'2025-02-27 19:48:57,3.81,64.10779309272766,15.775803089141846,1433.5933079719543,2,20,0,3,600,2
18,'2025-02-27 19:48:57,'2025-02-27 19:50:22,3.82,64.10665559768677,15.842302799224854,1517.9942889213562,2,20,0,3,600,2
19,'2025-02-27 19:50:22,'2025-02-27 19:51:46,3.86,64.10771059989929,15.83022665977478,1602.4430446624756,2,20,0,3,600,2
20,'2025-02-27 19:51:46,'2025-02-27 19:53:10,3.81,64.10648798942566,15.782852411270142,1686.7303378582,2,20,0,3,600,2
21,'2025-02-27 19:53:10,'2025-02-27 19:54:35,3.82,64.10601902008057,15.805087804794312,1771.0564296245575,2,20,0,3,600,2
22,'2025-02-27 19:54:35,'2025-02-27 19:55:59,3.81,64.1065526008606,15.747504234313965,1855.3742339611053,2,20,0,3,600,2
23,'2025-02-27 19:55:59,'2025-02-27 19:57:23,3.82,64.10756015777588,15.75242829322815,1939.6627805233002,2,20,0,3,600,2
24,'2025-02-27 19:57:23,'2025-02-27 19:58:48,3.81,64.10813069343567,15.764777183532715,2024.0143253803253,2,20,0,3,600,2
25,'2025-02-27 19:58:48,'2025-02-27 20:00:12,3.82,64.10667657852173,15.77755331993103,2108.3333377838135,2,20,0,3,600,2
26,'2025-02-27 20:00:12,'2025-02-27 20:01:36,3.81,64.10802936553955,15.769467830657959,2192.626692056656,2,20,0,3,600,2
27,'2025-02-27 20:01:36,'2025-02-27 20:03:01,3.82,64.1073260307312,15.749629259109497,2276.915635585785,2,20,0,3,600,2
28,'2025-02-27 20:03:01,'2025-02-27 20:04:25,3.81,64.10864186286926,15.76273798942566,2361.1853041648865,2,20,0,3,600,2
29,'2025-02-27 20:04:25,'2025-02-27 20:05:49,3.83,64.11183309555054,15.785804748535156,2445.5740883350372,2,20,0,3,600,2
