Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
106,jitter_values_20250305_003630.csv,1,60,E-Policy,3,600,2.0,6.700305810397554,1.5474843353594276,16.720839633027524,2.7059158671090664,2,"134.4797, 34.2752",1.7120495583531454,50.10225,0.0335405859189165
107,jitter_values_20250305_003745.csv,1,60,E-Policy,3,600,2.0,7.551070336391437,1.6409947119004853,16.716732905198775,2.5661957662450887,1,118.3185,1.4249339220096515,0.0,0.0167668546062456
108,jitter_values_20250305_003901.csv,1,60,E-Policy,3,600,2.0,6.915824915824916,2.5185078453826755,16.732610223446585,2.726931970035826,3,"119.4536, 33.473, 34.0081",1.458412360672654,40.40610979462827,0.0503278573765559
109,jitter_values_20250305_004016.csv,1,60,E-Policy,3,600,2.0,8.365555215662281,1.7957315019444742,16.722152187213215,2.692896036430352,2,"133.699, 38.4642",1.769591002146301,47.6174,0.0335478516421051
110,jitter_values_20250305_004132.csv,1,60,E-Policy,3,600,2.0,6.199266503667482,1.5811947310891892,16.694736155256724,3.716783034673904,16,"33.469, 126.0644, 62.5805, 37.8468, 114.6412, 53.611, 33.975, 37.3892, 35.5114, 51.1859, 36.9488, 39.6998, 34.1099, 42.129, 36.225, 34.1484",4.6297456684860165,27.62464490056769,0.2681948084964911
111,jitter_values_20250305_004247.csv,1,60,E-Policy,3,600,2.0,7.153516819571865,1.482944182883755,16.716389449541285,2.59443123762578,1,118.7955,1.4330620893126198,0.0,0.0167683801661734
112,jitter_values_20250305_004403.csv,1,60,E-Policy,3,600,2.0,7.293361884368308,1.9284688303543684,16.71633279290303,2.7990960019515128,1,134.0854,1.6895636110603194,0.0,0.0167695182653655
113,jitter_values_20250305_004518.csv,1,60,E-Policy,3,600,2.0,6.704983185570162,1.3876154688239948,16.71334362580251,2.5579832513148952,1,118.0158,1.419898771731071,0.0,0.0167673290446108
114,jitter_values_20250305_004634.csv,1,60,E-Policy,3,600,2.0,7.594065463444479,1.1995415370123703,16.722448210461916,2.667741930752461,1,137.2462,1.742619945633297,0.0,0.0167700113827415
115,jitter_values_20250305_004749.csv,1,60,E-Policy,3,600,2.0,9.082695252679938,1.454968697208971,16.70993846860643,1.969831688770868,1,40.943,0.1276957521095123,0.0,0.0167807302067544
116,jitter_values_20250305_004905.csv,1,60,E-Policy,3,600,2.0,7.089629856225145,1.633187260526343,16.72357665952891,2.737147200680169,1,121.0324,1.4704045583891372,0.0,0.0167664791138042
