Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
1,'2025-02-05 19:34:02,'2025-02-05 19:35:22,3.79,65,9.749190330505371,80.53825235366821,1.4,10,40,0,3,600,2
2,'2025-02-05 19:35:22,'2025-02-05 19:36:43,3.83,65,9.662625789642334,160.8024868965149,1.12,10,40,0,3,600,2
3,'2025-02-05 19:36:43,'2025-02-05 19:38:03,3.8,65,9.707777500152588,241.00655722618103,1.11,10,40,0,3,600,2
4,'2025-02-05 19:38:03,'2025-02-05 19:39:23,3.8,65,9.746309280395508,321.30178213119507,1.11,10,40,0,3,600,2
5,'2025-02-05 19:39:23,'2025-02-05 19:40:43,3.83,65,9.646964073181152,401.50544929504395,1.11,10,40,0,3,600,2
6,'2025-02-05 19:40:43,'2025-02-05 19:42:04,3.78,65,9.703773736953735,481.74404549598694,1.11,10,40,0,3,600,2
7,'2025-02-05 19:42:04,'2025-02-05 19:43:24,3.77,65,9.662337064743042,561.9518177509308,1.11,10,40,0,3,600,2
8,'2025-02-05 19:43:24,'2025-02-05 19:44:44,3.79,65,9.730299472808838,642.1965811252594,1.11,10,40,0,3,600,2
9,'2025-02-05 19:44:44,'2025-02-05 19:46:04,3.79,65,9.764345645904541,722.5082368850708,1.11,10,40,0,3,600,2
10,'2025-02-05 19:46:04,'2025-02-05 19:47:25,3.8,65,9.712691307067871,802.8395781517029,1.11,10,40,0,3,600,2
11,'2025-02-05 19:47:25,'2025-02-05 19:48:45,3.79,65,9.645302295684814,882.9689235687256,1.11,10,40,0,3,600,2
12,'2025-02-05 19:48:45,'2025-02-05 19:50:05,3.79,65,9.741666078567505,963.260749578476,1.11,10,40,0,3,600,2
13,'2025-02-05 19:50:05,'2025-02-05 19:51:25,3.81,65,9.730093955993652,1043.495099067688,1.11,10,40,0,3,600,2
14,'2025-02-05 19:51:25,'2025-02-05 19:52:46,3.79,65,9.706507682800293,1123.7353422641754,1.11,10,40,0,3,600,2
15,'2025-02-05 19:52:46,'2025-02-05 19:54:06,3.79,65,9.75898003578186,1203.9845850467682,1.1,10,40,0,3,600,2
16,'2025-02-05 19:54:06,'2025-02-05 19:55:26,3.77,65,9.72256088256836,1284.267837047577,1.1,10,40,0,3,600,2
17,'2025-02-05 19:55:26,'2025-02-05 19:56:46,3.78,65,9.80048680305481,1364.5516231060028,1.11,10,40,0,3,600,2
18,'2025-02-05 19:56:46,'2025-02-05 19:58:07,3.8,65,9.610737800598145,1444.7140164375305,1.1,10,40,0,3,600,2
19,'2025-02-05 19:58:07,'2025-02-05 19:59:27,3.78,65,9.728818893432617,1524.919424533844,1.11,10,40,0,3,600,2
20,'2025-02-05 19:59:27,'2025-02-05 20:00:47,3.79,65,9.702174186706543,1605.1076726913452,1.11,10,40,0,3,600,2
1,'2025-02-05 20:00:47,'2025-02-05 20:02:07,3.83,65,9.69161081314087,80.26963663101196,1.11,10,20,0,3,600,2
2,'2025-02-05 20:02:07,'2025-02-05 20:03:27,3.78,65,9.638675928115845,160.39583563804626,1.11,10,20,0,3,600,2
3,'2025-02-05 20:03:27,'2025-02-05 20:04:48,3.8,65,9.707236528396606,240.68410778045654,1.11,10,20,0,3,600,2
4,'2025-02-05 20:04:48,'2025-02-05 20:06:08,3.82,65,9.73873782157898,320.94537258148193,1.11,10,20,0,3,600,2
5,'2025-02-05 20:06:08,'2025-02-05 20:07:28,3.77,65,9.761711359024048,401.19530415534973,1.11,10,20,0,3,600,2
6,'2025-02-05 20:07:28,'2025-02-05 20:08:48,3.78,65,9.649613618850708,481.34005999565125,1.11,10,20,0,3,600,2
7,'2025-02-05 20:08:48,'2025-02-05 20:10:09,3.84,65,9.717300653457642,561.6865110397339,1.14,10,20,0,3,600,2
8,'2025-02-05 20:10:09,'2025-02-05 20:11:29,3.79,65,9.664527177810669,641.8456134796143,1.11,10,20,0,3,600,2
9,'2025-02-05 20:11:29,'2025-02-05 20:12:49,3.79,65,9.670292377471924,721.9958789348602,1.11,10,20,0,3,600,2
10,'2025-02-05 20:12:49,'2025-02-05 20:14:09,3.81,65,9.795584917068481,802.3117327690125,1.11,10,20,0,3,600,2
11,'2025-02-05 20:14:09,'2025-02-05 20:15:30,3.79,65,9.726834535598755,882.5573465824127,1.1,10,20,0,3,600,2
12,'2025-02-05 20:15:30,'2025-02-05 20:16:50,3.78,65,9.692265748977661,962.7560851573944,1.11,10,20,0,3,600,2
13,'2025-02-05 20:16:50,'2025-02-05 20:18:10,3.76,65,9.736231088638306,1042.9442117214203,1.11,10,20,0,3,600,2
14,'2025-02-05 20:18:10,'2025-02-05 20:19:30,3.86,65,9.845182657241821,1123.3656463623047,1.1,10,20,0,3,600,2
15,'2025-02-05 20:19:30,'2025-02-05 20:20:51,3.8,65,9.71787977218628,1203.6278412342072,1.11,10,20,0,3,600,2
16,'2025-02-05 20:20:51,'2025-02-05 20:22:11,3.77,65,9.749049425125122,1283.835270166397,1.11,10,20,0,3,600,2
17,'2025-02-05 20:22:11,'2025-02-05 20:23:31,3.82,65,9.744077444076538,1364.166208267212,1.11,10,20,0,3,600,2
18,'2025-02-05 20:23:31,'2025-02-05 20:24:51,3.8,65,9.707570791244507,1444.365068435669,1.11,10,20,0,3,600,2
19,'2025-02-05 20:24:51,'2025-02-05 20:26:12,3.79,65,9.69582223892212,1524.5895566940308,1.11,10,20,0,3,600,2
20,'2025-02-05 20:26:12,'2025-02-05 20:27:32,3.79,65,9.623347043991089,1604.741444349289,1.11,10,20,0,3,600,2
1,'2025-02-05 20:27:32,'2025-02-05 20:28:51,3.31,65,9.640233516693115,79.63783311843872,1.11,10,0,0,3,600,2
2,'2025-02-05 20:28:51,'2025-02-05 20:30:11,3.3,65,9.697065830230713,159.41139268875122,1.11,10,0,0,3,600,2
3,'2025-02-05 20:30:11,'2025-02-05 20:31:31,3.26,65,9.652806043624878,239.03816318511963,1.11,10,0,0,3,600,2
