Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM,QoE_Delay
1,40,E-Policy,3,600,2.0,2.4383739918220924,0.0167201614820841,1.079825916398914,4.463451056457963,3.6996154362859124,3.9956806963344045,4.718206097560975
1,40,E-Policy,3,600,2.0,2.213378180165583,0.0335265750767941,0.8779643106187163,4.476050821910727,3.699228888773234,3.996488142757525,4.708214490981351
1,40,E-Policy,3,600,2.0,1.986543464538266,0.0335217184383393,0.90585960979266,4.488753565985856,3.6992290004759183,3.9963765615608295,4.7088704156479215
1,40,E-Policy,3,600,2.0,2.0060797461582016,0.0167601273504536,0.8467244159260566,4.48765953421514,3.69961451707094,3.996613102336296,4.717692758936755
1,40,E-Policy,3,600,2.0,2.163121513399382,0.0167671475073826,1.144197959394533,4.478865195249634,3.69961435560733,3.9954232081624217,4.6983071559633025
1,40,E-Policy,3,600,2.0,2.0319607906188435,0.0167622213234859,0.897515808629204,4.486210195725344,3.69961446890956,3.9964099367654833,4.712041210638948
1,40,E-Policy,3,600,2.0,2.316176399152086,0.0335193744063137,0.8634780566725554,4.470294121647483,3.699229054388655,3.99654608777331,4.713484072149189
1,40,E-Policy,3,600,2.0,2.2087477673104696,0.0335354384189885,1.2686897680272968,4.476310125030613,3.6992286849163634,3.994925240927891,4.706801834862385
1,40,E-Policy,3,600,2.0,2.605599521304353,0.1675578646337313,1.2276857504680134,4.454086426806956,3.6961461691134243,3.995089256998128,4.7263213936430315
1,40,E-Policy,3,600,2.0,2.329181009282141,0.0167760925352274,1.149405021617696,4.4695658634802,3.69961414987169,3.9954023799135294,4.683104132231405
1,40,E-Policy,3,600,2.0,2.265217906494408,0.0167644794982847,0.904106132902244,4.4731477972363125,3.6996144169715395,3.996383575468391,4.711733537331701
1,40,E-Policy,3,600,2.0,2.047821933710324,0.0167558604984467,0.8709372228750574,4.485321971712222,3.699614615208536,3.9965162511085,4.719148899755501
1,40,E-Policy,3,600,2.0,2.0189028949864376,0.0167561009393409,0.8277811452387097,4.486941437880759,3.6996146096783953,3.996688875419045,4.718036552567237
