Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
1,'2025-02-24 18:42:26,'2025-02-24 18:43:50,3.84,64.26974845,15.72855353,84.47041464,2,40,0,3,600,2
2,'2025-02-24 18:43:50,'2025-02-24 18:45:15,3.8,64.11019993,15.73435974,168.7065303,2,40,0,3,600,2
3,'2025-02-24 18:45:15,'2025-02-24 18:46:39,3.84,64.11387873,15.64269018,252.9765036,2,40,0,3,600,2
4,'2025-02-24 18:46:39,'2025-02-24 18:48:03,3.84,64.10652065,15.71562529,337.2383337,2,40,0,3,600,2
5,'2025-02-24 18:48:03,'2025-02-24 18:49:28,3.8,64.10643363,15.65969014,421.514864,2,40,0,3,600,2
6,'2025-02-24 18:49:28,'2025-02-24 18:50:52,3.81,64.10781407,15.70340371,505.7759356,2,40,0,3,600,2
7,'2025-02-24 18:50:52,'2025-02-24 18:52:16,3.84,64.11013532,15.7518909,590.084326,2,40,0,3,600,2
8,'2025-02-24 18:52:16,'2025-02-24 18:53:40,3.81,64.10880876,15.66183376,674.3062992,2,40,0,3,600,2
9,'2025-02-24 18:53:40,'2025-02-24 18:55:05,3.82,64.10647011,15.69890833,758.548321,2,40,0,3,600,2
10,'2025-02-24 18:55:05,'2025-02-24 18:56:29,3.8,64.1065464,15.68236589,842.7238486,2,40,0,3,600,2
11,'2025-02-24 18:56:29,'2025-02-24 18:57:53,3.82,64.10911894,15.72384,926.9939775,2,40,0,3,600,2
12,'2025-02-24 18:57:53,'2025-02-24 18:59:17,3.81,64.1067276,15.68648601,1011.19203,2,40,0,3,600,2
13,'2025-02-24 18:59:17,'2025-02-24 19:00:41,3.82,64.10744214,15.66867709,1095.45566,2,40,0,3,600,2
14,'2025-02-24 19:00:41,'2025-02-24 19:02:06,3.85,64.10756898,15.67397785,1179.700029,2,40,0,3,600,2
15,'2025-02-24 19:02:06,'2025-02-24 19:03:30,3.82,64.10784817,15.71427655,1263.976706,2,40,0,3,600,2
1,'2025-02-24 19:03:30,'2025-02-24 19:04:54,3.79,64.10758972,15.69415522,84.20880079,2,20,0,3,600,2
2,'2025-02-24 19:04:54,'2025-02-24 19:06:18,3.8,64.10707259,15.65078998,168.4236736,2,20,0,3,600,2
3,'2025-02-24 19:06:18,'2025-02-24 19:07:43,3.82,64.10801959,15.66062045,252.6209097,2,20,0,3,600,2
4,'2025-02-24 19:07:43,'2025-02-24 19:09:07,3.83,64.10754681,15.66735482,336.8215878,2,20,0,3,600,2
5,'2025-02-24 19:09:07,'2025-02-24 19:10:31,3.8,64.10703826,15.7202158,421.060945,2,20,0,3,600,2
6,'2025-02-24 19:10:31,'2025-02-24 19:11:55,3.77,64.1079514,15.69078875,505.2484806,2,20,0,3,600,2
7,'2025-02-24 19:11:55,'2025-02-24 19:13:19,3.85,64.10730124,15.65371656,589.4884193,2,20,0,3,600,2
8,'2025-02-24 19:13:19,'2025-02-24 19:14:44,3.79,64.10702777,15.64337468,673.6687741,2,20,0,3,600,2
9,'2025-02-24 19:14:44,'2025-02-24 19:16:08,3.82,64.10732818,15.69812179,757.9591844,2,20,0,3,600,2
10,'2025-02-24 19:16:08,'2025-02-24 19:17:32,3.83,64.10761213,15.68054628,842.1754556,2,20,0,3,600,2
11,'2025-02-24 19:17:32,'2025-02-24 19:18:56,3.81,64.10687876,15.69021583,926.4132493,2,20,0,3,600,2
12,'2025-02-24 19:18:56,'2025-02-24 19:20:21,3.82,64.10662413,15.72454667,1010.642043,2,20,0,3,600,2
13,'2025-02-24 19:20:21,'2025-02-24 19:21:45,3.81,64.10713482,15.6934371,1094.876229,2,20,0,3,600,2
14,'2025-02-24 19:21:45,'2025-02-24 19:23:09,3.88,64.11184406,15.67789841,1179.157942,2,20,0,3,600,2
15,'2025-02-24 19:23:09,'2025-02-24 19:24:33,3.82,64.10715199,15.72990108,1263.491864,2,20,0,3,600,2
1,'2025-02-24 19:24:33,'2025-02-24 19:25:57,3.34,64.10714602,15.68622923,83.78339982,2,0,0,3,600,2
2,'2025-02-24 19:25:57,'2025-02-24 19:27:21,3.3,64.10732317,15.70042896,167.5283127,2,0,0,3,600,2
3,'2025-02-24 19:27:21,'2025-02-24 19:28:45,3.34,64.10645962,15.77460909,251.3576412,2,0,0,3,600,2
4,'2025-02-24 19:28:45,'2025-02-24 19:30:09,3.35,64.10684705,15.80076885,335.2093165,2,0,0,3,600,2
5,'2025-02-24 19:30:09,'2025-02-24 19:31:32,3.31,64.11012268,15.65440416,418.9183905,2,0,0,3,600,2
6,'2025-02-24 19:31:32,'2025-02-24 19:32:56,3.28,64.10698175,15.72435617,502.6459758,2,0,0,3,600,2
7,'2025-02-24 19:32:56,'2025-02-24 19:34:20,3.3,64.10787058,15.71299982,586.3489966,2,0,0,3,600,2
8,'2025-02-24 19:34:20,'2025-02-24 19:35:44,3.31,64.10701585,15.69693184,670.0888586,2,0,0,3,600,2
9,'2025-02-24 19:35:44,'2025-02-24 19:37:07,3.29,64.10938692,15.68874145,753.8158221,2,0,0,3,600,2
10,'2025-02-24 19:37:07,'2025-02-24 19:38:31,3.29,64.10738111,15.66808105,837.5100539,2,0,0,3,600,2
11,'2025-02-24 19:38:31,'2025-02-24 19:39:55,3.32,64.10657501,15.74019742,921.2718329,2,0,0,3,600,2
12,'2025-02-24 19:39:55,'2025-02-24 19:41:19,3.4,64.10702324,15.8248961,1005.203788,2,0,0,3,600,2
13,'2025-02-24 19:41:19,'2025-02-24 19:42:42,3.33,64.10781479,15.73582935,1088.999249,2,0,0,3,600,2
14,'2025-02-24 19:42:42,'2025-02-24 19:44:06,3.3,64.10793233,15.66555595,1172.663888,2,0,0,3,600,2
15,'2025-02-24 19:44:06,'2025-02-24 19:45:30,3.3,64.10799003,15.66294193,1256.336866,2,0,0,3,600,2
1,'2025-02-24 19:45:30,'2025-02-24 19:46:54,3.81,64.10905147,15.71503067,84.24983478,2,60,0,3,600,2
2,'2025-02-24 19:46:54,'2025-02-24 19:48:18,3.8,64.10780048,15.64107728,168.4028318,2,60,0,3,600,2
3,'2025-02-24 19:48:18,'2025-02-24 19:49:42,3.81,64.11441755,15.67482734,252.6691189,2,60,0,3,600,2
4,'2025-02-24 19:49:42,'2025-02-24 19:51:07,3.79,64.10623097,15.68482351,336.8577647,2,60,0,3,600,2
5,'2025-02-24 19:51:07,'2025-02-24 19:52:31,3.84,64.10903239,15.68745804,421.152703,2,60,0,3,600,2
6,'2025-02-24 19:52:31,'2025-02-24 19:53:55,3.81,64.11037397,15.67033076,505.3577814,2,60,0,3,600,2
7,'2025-02-24 19:53:55,'2025-02-24 19:55:19,3.83,64.10712385,15.69392824,589.652822,2,60,0,3,600,2
8,'2025-02-24 19:55:19,'2025-02-24 19:56:44,3.77,64.10791492,15.67611098,673.8103671,2,60,0,3,600,2
9,'2025-02-24 19:56:44,'2025-02-24 19:58:08,3.82,64.10740399,15.73757005,758.0939107,2,60,0,3,600,2
10,'2025-02-24 19:58:08,'2025-02-24 19:59:32,3.8,64.10752678,15.74207044,842.3461552,2,60,0,3,600,2
11,'2025-02-24 19:59:32,'2025-02-24 20:00:56,3.79,64.10765624,15.69295979,926.5814142,2,60,0,3,600,2
12,'2025-02-24 20:00:56,'2025-02-24 20:02:21,3.82,64.10864711,15.70294857,1010.841701,2,60,0,3,600,2
13,'2025-02-24 20:02:21,'2025-02-24 20:03:45,3.8,64.10785031,15.69447684,1095.049096,2,60,0,3,600,2
14,'2025-02-24 20:03:45,'2025-02-24 20:05:09,3.85,64.10783529,15.7175808,1179.321365,2,60,0,3,600,2
15,'2025-02-24 20:05:09,'2025-02-24 20:06:33,3.85,64.10821438,15.70205641,1263.656181,2,60,0,3,600,2
1,'2025-02-24 20:06:33,'2025-02-24 20:07:58,3.83,64.10925031,15.66087961,84.20527196,2,80,0,3,600,2
2,'2025-02-24 20:07:58,'2025-02-24 20:09:22,3.81,64.10728526,15.67917275,168.4048076,2,80,0,3,600,2
3,'2025-02-24 20:09:22,'2025-02-24 20:10:46,3.81,64.10685658,15.75663352,252.6847167,2,80,0,3,600,2
4,'2025-02-24 20:10:46,'2025-02-24 20:12:10,3.89,64.10776377,15.64608908,336.9756796,2,80,0,3,600,2
5,'2025-02-24 20:12:10,'2025-02-24 20:13:35,3.79,64.10862041,15.66465926,421.1390777,2,80,0,3,600,2
6,'2025-02-24 20:13:35,'2025-02-24 20:14:59,3.81,64.10703182,15.68645787,505.3415871,2,80,0,3,600,2
7,'2025-02-24 20:14:59,'2025-02-24 20:16:23,3.83,64.10911298,15.74057317,589.6243691,2,80,0,3,600,2
8,'2025-02-24 20:16:23,'2025-02-24 20:17:47,3.83,64.10934973,15.70055723,673.9322515,2,80,0,3,600,2
9,'2025-02-24 20:17:47,'2025-02-24 20:19:12,3.81,64.10751939,15.67005396,758.1199503,2,80,0,3,600,2
10,'2025-02-24 20:19:12,'2025-02-24 20:20:36,3.81,64.10757446,15.68174815,842.328074,2,80,0,3,600,2
11,'2025-02-24 20:20:36,'2025-02-24 20:22:00,3.82,64.10931206,15.73788714,926.5944405,2,80,0,3,600,2
12,'2025-02-24 20:22:00,'2025-02-24 20:23:24,3.82,64.10756922,15.69875646,1010.888662,2,80,0,3,600,2
13,'2025-02-24 20:23:24,'2025-02-24 20:24:49,3.81,64.10744715,15.68179369,1095.105913,2,80,0,3,600,2
14,'2025-02-24 20:24:49,'2025-02-24 20:26:13,3.9,64.1074245,15.66176105,1179.40722,2,80,0,3,600,2
15,'2025-02-24 20:26:13,'2025-02-24 20:27:37,3.81,64.10770869,15.75357294,1263.697105,2,80,0,3,600,2
1,'2025-02-24 20:27:37,'2025-02-24 20:29:01,3.85,64.10677695,15.67449689,84.26264977,1,40,0,3,600,2
2,'2025-02-24 20:29:01,'2025-02-24 20:30:26,3.84,64.1070044,15.66260815,168.4964879,1,40,0,3,600,2
3,'2025-02-24 20:30:26,'2025-02-24 20:31:50,3.82,64.1104362,15.66594076,252.6955514,1,40,0,3,600,2
4,'2025-02-24 20:31:50,'2025-02-24 20:33:14,3.8,64.10767198,15.74552727,336.9617984,1,40,0,3,600,2
5,'2025-02-24 20:33:14,'2025-02-24 20:34:38,3.79,64.1077292,15.70574975,421.2049503,1,40,0,3,600,2
6,'2025-02-24 20:34:38,'2025-02-24 20:36:03,3.83,64.10777187,15.70315647,505.4639616,1,40,0,3,600,2
7,'2025-02-24 20:36:03,'2025-02-24 20:37:27,3.84,64.1091938,15.68635607,589.7189133,1,40,0,3,600,2
8,'2025-02-24 20:37:27,'2025-02-24 20:38:51,3.81,64.10764289,15.76436615,674.0165901,1,40,0,3,600,2
9,'2025-02-24 20:38:51,'2025-02-24 20:40:15,3.8,64.10651588,15.70330453,758.2615714,1,40,0,3,600,2
10,'2025-02-24 20:40:15,'2025-02-24 20:41:40,3.89,64.10757232,15.72538447,842.6563575,1,40,0,3,600,2
11,'2025-02-24 20:41:40,'2025-02-24 20:43:04,3.84,64.10744572,15.74672842,926.9634292,1,40,0,3,600,2
12,'2025-02-24 20:43:04,'2025-02-24 20:44:28,3.83,64.10732889,15.65175843,1011.147328,1,40,0,3,600,2
13,'2025-02-24 20:44:28,'2025-02-24 20:45:53,3.8,64.10732317,15.67261028,1095.367073,1,40,0,3,600,2
14,'2025-02-24 20:45:53,'2025-02-24 20:47:17,3.82,64.10842276,15.69713759,1179.67955,1,40,0,3,600,2
15,'2025-02-24 20:47:17,'2025-02-24 20:48:41,3.8,64.10811543,15.74621248,1264.017524,1,40,0,3,600,2
1,'2025-02-24 20:48:41,'2025-02-24 20:50:05,3.82,64.10671639,15.66796899,84.24594831,1,20,0,3,600,2
2,'2025-02-24 20:50:05,'2025-02-24 20:51:30,3.8,64.10740137,15.69409966,168.433424,1,20,0,3,600,2
3,'2025-02-24 20:51:30,'2025-02-24 20:52:54,3.82,64.10950398,15.74678326,252.7947943,1,20,0,3,600,2
4,'2025-02-24 20:52:54,'2025-02-24 20:54:18,3.82,64.10671806,15.68458748,337.0147488,1,20,0,3,600,2
5,'2025-02-24 20:54:18,'2025-02-24 20:55:42,3.82,64.10641074,15.67720795,421.275733,1,20,0,3,600,2
6,'2025-02-24 20:55:42,'2025-02-24 20:57:07,3.79,64.10730743,15.69052649,505.4640887,1,20,0,3,600,2
7,'2025-02-24 20:57:07,'2025-02-24 20:58:31,3.82,64.10775352,15.69528031,589.6844842,1,20,0,3,600,2
8,'2025-02-24 20:58:31,'2025-02-24 20:59:55,3.84,64.10778475,15.77157307,674.0367231,1,20,0,3,600,2
9,'2025-02-24 20:59:55,'2025-02-24 21:01:19,3.83,64.10949159,15.71391344,758.3101997,1,20,0,3,600,2
10,'2025-02-24 21:01:19,'2025-02-24 21:02:44,3.82,64.10678339,15.68843532,842.5193367,1,20,0,3,600,2
11,'2025-02-24 21:02:44,'2025-02-24 21:04:08,3.82,64.10825181,15.7327652,926.7838464,1,20,0,3,600,2
12,'2025-02-24 21:04:08,'2025-02-24 21:05:32,3.81,64.10732388,15.67267132,1010.963746,1,20,0,3,600,2
13,'2025-02-24 21:05:32,'2025-02-24 21:06:56,3.81,64.10989952,15.72708035,1095.274831,1,20,0,3,600,2
14,'2025-02-24 21:06:56,'2025-02-24 21:08:21,3.81,64.10624909,15.69286036,1179.484712,1,20,0,3,600,2
15,'2025-02-24 21:08:21,'2025-02-24 21:09:45,3.81,64.10788321,15.66614699,1263.702378,1,20,0,3,600,2
1,'2025-02-24 21:09:45,'2025-02-24 21:11:09,3.37,64.10732436,15.72469854,83.80845046,1,0,0,3,600,2
