Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
32,jitter_values_20250226_163945.csv,2,40,E-Policy,3,600,2,4.875838926174497,0.6152537783425064,16.696478035387432,1.827394983207011,1,66.8497,0.5615680949479088,0.0,0.016755041252023234
33,jitter_values_20250226_164109.csv,2,40,E-Policy,3,600,2,4.478632478632479,1.1656016725645493,16.683704212454213,2.9692791939938115,9,"100.179, 64.8356, 34.2491, 67.6049, 33.3353, 36.9386, 50.4633, 35.4217, 35.1783",2.6521892491125434,21.523386258161718,0.15087755409269585
34,jitter_values_20250226_164233.csv,2,40,E-Policy,3,600,2,4.833638583638583,0.7553034935399123,16.699683455433455,1.9990599123460744,1,83.9215,0.8481465994372331,0.0,0.016765711558652537
35,jitter_values_20250226_164357.csv,2,40,E-Policy,3,600,2,4.301190112908148,1.3950598954498146,16.704512267317668,2.443886915786214,3,"34.6816, 102.1887, 35.0809",1.2060529889269485,31.72945496562391,0.05028629220017775
36,jitter_values_20250226_164521.csv,2,20,E-Policy,3,600,2,2.937442783033262,0.5021856291673342,16.691232499237106,1.8501631739500144,1,34.7894,0.024402654615405764,0.0,0.016759305289324636
37,jitter_values_20250226_164646.csv,2,20,E-Policy,3,600,2,2.97163769441903,0.479717448355331,16.690139036291555,1.8112826913812827,1,48.8853,0.260494554409082,0.0,0.016749943666870284
38,jitter_values_20250226_164810.csv,2,20,E-Policy,3,600,2,3.174443427874352,0.48974173544451177,16.689308722171393,1.9976501103413278,0,,0.0,0.0,0.0
39,jitter_values_20250226_164934.csv,2,20,E-Policy,3,600,2,2.791031116534472,0.5263448024159117,16.684132641854788,1.7428395290934509,1,35.1634,0.030661027820100502,0.0,0.016754055766349665
40,jitter_values_20250226_165058.csv,2,20,E-Policy,3,600,2,3.1257631257631258,0.7405765429275573,16.6971568986569,1.7463178579653182,1,36.74,0.05710311836978246,0.0,0.016762171099186842
41,jitter_values_20250226_165223.csv,2,20,E-Policy,3,600,2,3.2539634146341463,0.554844608038831,16.68659576219512,1.986077691536634,1,35.0402,0.028577765727747017,0.0,0.016742829095984717
42,jitter_values_20250226_165347.csv,2,20,E-Policy,3,600,2,2.9966463414634146,0.440051533535737,16.686519176829268,1.6660281313796204,0,,0.0,0.0,0.0
43,jitter_values_20250226_165511.csv,2,20,E-Policy,3,600,2,3.1525320317266625,0.6331629539500121,16.692223825503355,1.8217357365726172,0,,0.0,0.0,0.0
